Ws_name,variable,MIN,MEDIAN,MEAN,MAX,STD
WS1,dem5,748.2952270507812,778.6600952148438,777.1440598563596,799.2737426757812,9.738820503445114
WS4,dem5,738.492431640625,825.2557373046875,821.3489631323703,867.4684448242188,28.42325776647718
WS2,dem5,709.26953125,776.4588317871094,772.5259170532237,814.153076171875,23.83395244861341
WS5,dem5,720.3948974609375,782.6371459960938,782.074802625886,834.2237548828125,23.2927725973953
WS1,slope5,0.2660503685474396,17.301273345947266,17.098206469087874,33.2724609375,6.229773831404437
WS4,slope5,0.18502043187618256,11.585576057434082,12.108594666895446,31.27448272705078,5.5241708766578235
WS2,slope5,0.3184959888458252,15.76186752319336,15.94630713389753,30.845775604248047,5.999872628907862
WS5,slope5,0.059425514191389084,16.03877067565918,15.98729671869129,35.27956008911133,6.390289070303564
WS1,north5,-0.9946522116661072,0.06642782688140869,0.14359988456629308,0.9999985694885254,0.5426380117986666
WS4,north5,-1.0,-0.43466663360595703,-0.27694382918181687,0.9999998211860657,0.5887892299574795
WS2,north5,-0.9999998211860657,-0.5317263603210449,-0.5101566274906976,0.8868932723999023,0.2844193695901024
WS5,north5,-0.9999998211860657,0.2377297431230545,0.1310814853468904,1.0,0.62782939808546
WS1,tpi200,-31.8515625,0.43963623046875,-1.2298128435898816,20.42681884765625,10.571285783886449
WS4,tpi200,-23.6805419921875,1.93902587890625,1.8328630745575247,32.06622314453125,9.780265420315622
WS2,tpi200,-24.87164306640625,3.425201416015625,1.3089578215810405,22.29071044921875,11.868303084446815
WS5,tpi200,-26.1146240234375,0.95880126953125,0.17905319386685092,25.25408935546875,10.956139924944708
WS1,twi5,2.529799222946167,4.782083034515381,4.780840633560997,8.963738441467285,0.883416677407017
WS4,twi5,3.092594623565674,5.691489219665527,5.84209674720954,13.523028373718262,1.32112762076576
WS2,twi5,2.770087957382202,5.151176691055298,5.286821995173763,12.864776611328125,1.1012110489027414
WS5,twi5,2.3608169555664062,5.0354039669036865,5.226821327050639,14.305278778076172,1.208777189826724
