usfs_id,Ws_name,is_study_plot,dem5_fp,slope5_fp,north5_fp,east5_fp,tpi50_fp,tpi200_fp,twi5_fp
WS5A-1,WS5,1,779.5216140747071,9.092510372400284,-0.17554878524970263,-0.9760890193283557,1.445526123046875,-9.852928161621092,5.587014079093932
WS5A-2,WS5,1,780.1830159505209,19.727491124471026,0.5741848846276603,0.8129046479860941,1.1661580403645833,1.02076416015625,4.403874111175536
WS5A-3,WS5,1,782.6592122395833,19.63834590911865,-0.06923994173606236,0.9765482703844706,1.4831298828125,0.3850830078125,5.649725532531739
WS5A-4,WS5,1,768.0318260192871,14.743078887462614,0.029171764850616448,0.8497926276177168,-3.8546257019042973,-10.138950347900392,7.2861252427101135
WS5A-5,WS5,1,747.6192855834961,18.593928575515747,-0.5380176939070224,0.8408911265432835,0.2203903198242187,-5.277030944824219,5.508569985628127
WS4A-11,WS4,1,830.8768107096354,5.132684230804442,-0.37325050725291176,0.8950443069140116,0.8387451171874999,4.328006998697917,6.564763927459717
WS4A-4,WS4,0,805.6755514705883,15.333355230443617,-0.4195833942469428,0.9069809072157915,0.13412655101102947,-2.3920934340533093,5.764452345231001
WS4A-12,WS4,0,788.0385131835936,13.667054821463193,-0.028946244212634427,0.8180825622642741,-3.828128590303309,-7.757259593290442,6.53620927474078
WS4A-14,WS4,0,765.758689478824,28.60776931361148,0.808518227777983,0.5876334686028329,-0.5528307462993421,-8.285342567845396,5.191085037432219
WS2B-1,WS2,1,732.3511424345129,20.106632793650903,-0.25578172592555776,-0.9662189448581021,-0.8588364545036764,-6.5892333984375,5.175891483531278
WS2A-5,WS2,1,744.9850997924804,25.709006905555725,-0.4315491877496243,0.9003500752151011,0.6330604553222657,-5.669021606445312,5.3679258823394775
WS4A-1,WS4,0,826.6563186645508,12.8306627869606,-0.11067821487085894,0.99148441106081,0.6596336364746094,-0.07870101928710938,5.868289440870285
WS4A-13,WS4,1,765.9377059936523,10.32773181796074,-0.7474188730120659,0.6256964728236197,-3.919132232666016,-21.35387802124023,7.370733022689819
WS4A-10,WS4,1,858.0059547424316,9.945061862468718,-0.11976972175762057,0.9850708656013012,1.0998268127441406,10.943775177001953,5.200914174318314
WS4A-2,WS4,0,783.2113396139706,11.169576476601993,-0.5746563383761574,0.607877172091428,-3.8078469669117645,-15.584767061121326,9.120727314668544
WS2B-2,WS2,1,745.2610282897949,22.984395146369934,-0.45885833725333214,-0.8873770758509636,-0.2541465759277344,-11.721069335937498,4.971978545188904
WS4A-3,WS4,0,810.7306722005208,11.506681696573894,-0.36024747639894483,0.8964317361513773,-1.4976521809895835,-9.203413899739584,8.121290588378907
WS2A-4,WS2,0,746.1083102756076,22.525281270345047,-0.4050069898366928,0.9127772450447084,-3.4924485948350696,-18.750695122612846,5.586193164189656
WS1-5,WS1,0,,,,,,,
WS4A-8,WS4,0,803.0800170898436,18.24353218078613,-0.2188049291863161,0.9719278005992665,-0.6236320944393383,-10.421691894531252,6.339770289028391
WS2B-3,WS2,0,760.813533782959,19.69553291797638,-0.31836451403796673,-0.9470410570502281,-1.4378433227539062,-10.833202362060549,5.338276416063309
WS4A-9,WS4,1,843.0518150329591,12.224388659000397,-0.3022698368877173,0.946060821413994,-0.2650260925292969,3.169315338134766,6.649286478757858
WS2A-3,WS2,1,764.6158409118651,20.63055956363678,-0.4479138236492873,0.8938267305493355,-0.5619735717773438,-12.503101348876951,5.767501115798951
WS1-6,WS1,0,,,,,,,
WS2B-4,WS2,1,775.91982421875,20.88464775085449,0.16214694281419118,-0.9859761555989583,-2.0434814453124996,-8.01085205078125,4.999326260884604
WS1-10,WS1,0,,,,,,,
WS4A-7,WS4,0,826.6044267926898,14.927152156829834,-0.43994230031967163,0.8961897151810783,0.9590454101562501,-4.086996895926339,6.372945513044086
WS2A-2,WS2,0,782.1653633117676,21.055256366729733,-0.3595284400507807,0.9284555278718473,-1.0373687744140625,-6.6843223571777335,5.440194606781006
WS1-16,WS1,0,,,,,,,
WS1-11,WS1,0,,,,,,,
WS1-1,WS1,0,,,,,,,
WS4A-6,WS4,0,834.4098225911459,17.198371442159015,-0.7596491018931071,0.6384675959746043,-0.5274169921875,-3.529854329427083,5.788872623443605
WS2A-1,WS2,1,791.6649169921874,15.108097255229948,-0.974208377301693,0.17646276170853525,-1.6768646240234375,-2.247756958007813,6.393398940563203
WS1-7,WS1,0,,,,,,,
WS1-12,WS1,0,,,,,,,
WS1-2,WS1,0,,,,,,,
WS1-8,WS1,0,,,,,,,
WS1-13,WS1,0,,,,,,,
WS1-3,WS1,0,,,,,,,
WS1-9,WS1,0,,,,,,,
WS1-4,WS1,0,,,,,,,
WS1-15,WS1,0,778.7940114339193,16.17179799079895,-0.47465655580163,0.8778603449463844,-1.3693186442057292,3.7038523356119786,5.1017062067985535
WS1-14,WS1,0,,,,,,,
