AREA,PERIMETER,Comp_name,Survey_ac,Shape_Length,Shape_Area
243033.609375,2342.50764101,WS7,59.86,2342.5076410054853,243033.609375
139403.140625,1528.78386431,WS13,35.17,1528.7838643101225,139403.140625
342825.890625,2612.20048581,WS3,84.68,2612.2004858074774,342825.890625
390071.96875,2747.17889379,WS4,95.7,2747.1788937898627,390071.96875
156627.015625,1571.56501378,WS10,37.56,1571.5650137793327,156627.015625
129195.40625,1586.96928487,LTSP FM,30.8,1586.9692848724274,129195.40625
