Length,Class,Perennial,Subdrain,Shape_Length
420.486365804,1, ,Camp Hollow,420.48636580404946
239.689222044,4,Yes,Lower Elklick Run,239.68922204608003
126.3698406,3,Yes,Camp Hollow,126.36984059819136
221.777443739,3,Yes,Camp Hollow,221.77744373783534
196.531230796,3,Yes,Camp Hollow,196.53123079566006
144.834929819,1, ,Bear Run,144.83492981423882
57.1703917719,4,Yes,Lower Elklick Run,57.17039177215757
169.118911697,2, ,Camp Hollow,169.11891169637178
216.119805906,3,Yes,Camp Hollow,216.11980590735396
265.290712273,1, ,Bear Run,265.29071227269634
45.516378706,4,Yes,Lower Elklick Run,45.516378707477124
323.94676078,1, ,Lower Elklick Run,323.9467607789256
301.672251555,1, ,Lower Elklick Run,301.67225155415053
118.109145267,3,Yes,Camp Hollow,118.10914526706148
71.8293840132,3,Yes,Camp Hollow,71.829384012217
295.965596081,1, ,Bear Run,295.96559607877236
98.7385260077,2,Yes,Camp Hollow,98.73852600895388
376.727718797,1, ,Camp Hollow,376.7277187949847
208.560021341,4,Yes,Lower Elklick Run,208.56002133788448
181.27252275,4,Yes,Lower Elklick Run,181.27252274876193
241.240405076,1, ,Camp Hollow,241.24040508081447
143.693318825,1, ,Camp Hollow,143.6933188266876
117.078259601,4,Yes,Lower Elklick Run,117.07825960222084
211.149253254,1, ,Camp Hollow,211.14925325420103
97.246697296,4,Yes,Lower Elklick Run,97.24669729601581
455.314587678,3,Yes,Camp Hollow,455.3145876730522
151.097737482,3,Yes,Big Spring Run,151.09773748187374
241.463320996,1, ,Upper Elklick Run,241.46332099477672
198.323254243,1, ,Upper Elklick Run,198.32325424355372
396.564968769,2, ,Camp Hollow,396.56496876832045
403.957172962,1, ,Big Spring Run,403.95717296186956
179.587723319,2,Yes,Big Spring Run,179.5877233212135
72.1663080991,1, ,Big Spring Run,72.16630810096225
36.7460012565,2,Yes,Big Spring Run,36.74600125636633
308.494567933,1, ,Big Spring Run,308.494567933474
225.64327249,1, ,Upper Elklick Run,225.64327249235515
154.249251639,1, ,Big Spring Run,154.24925164017867
120.08236467,1, ,Camp Hollow,120.0823646692573
18.7588874094,4,Yes,Upper Elklick Run,18.75888741000015
198.942342961,1, ,Upper Elklick Run,198.94234296339252
154.259760766,1, ,Camp Hollow,154.25976076550054
190.888116474,2,Yes,Big Spring Run,190.88811647701263
288.684232075,2, ,Upper Elklick Run,288.6842320748865
71.1040064715,1, ,Big Spring Run,71.1040064673206
29.7139132594,2,Yes,Big Spring Run,29.713913261342146
691.923566556,1, ,Stonelick Run,691.9235665581216
870.456636546,1, ,Stonelick Run,870.4566365474236
149.221897674,1, ,Upper Elklick Run,149.2218976747853
262.46428914,1, ,Stonelick Run,262.4642891415036
259.853522488,1, ,Stonelick Run,259.85352248640095
343.237353204,2, ,Upper Elklick Run,343.2373532050924
210.528332875,2, ,Stonelick Run,210.5283328755011
568.305099024,1, ,Stonelick Run,568.3050990216904
264.446499888,1, ,Big Spring Run,264.4464998898073
68.0167963242,1, ,Big Spring Run,68.01679632411765
189.042393945,2,Yes,Big Spring Run,189.0423939423051
136.513007989,1,Yes,Big Spring Run,136.5130079886207
128.989788611,2, ,Stonelick Run,128.98978860915076
123.052007663,2, ,Stonelick Run,123.05200766054193
88.4689877937,1, ,Big Spring Run,88.46898779293758
177.715002129,1, ,Big Spring Run,177.71500212887833
466.889858424,1, ,Big Spring Run,466.88985842210786
179.164899698,3, ,Stonelick Run,179.16489969873217
281.226510447,1, ,Stonelick Run,281.22651044586746
216.848904702,1, ,Upper Elklick Run,216.8489046981633
265.351551254,1, ,Upper Elklick Run,265.3515512509987
2.36593665397,2, ,Stonelick Run,2.3659366538434625
435.158771845,2, ,Upper Elklick Run,435.1587718449451
4.44453667566,2, ,Upper Elklick Run,4.444536674390257
278.470080898,1, ,Stonelick Run,278.4700808962502
87.9470346728,3,Yes,Upper Elklick Run,87.94703467360699
74.1952734456,2, ,Upper Elklick Run,74.19527344685879
103.897203358,1, ,Stonelick Run,103.8972033572604
418.781735099,2, ,Stonelick Run,418.7817350993077
395.301240027,1, ,Stonelick Run,395.30124003157897
158.264614355,1, ,Upper Elklick Run,158.26461435533992
455.968214411,3, ,Upper Elklick Run,455.9682144073729
306.342584614,3, ,Stonelick Run,306.34258461230144
1132.1013582,3,Yes,Stonelick Run,1132.101358195892
361.825414489,2, ,Upper Elklick Run,361.82541448973495
116.146044322,2, ,Upper Elklick Run,116.146044319968
19.4072498007,1, ,Upper Elklick Run,19.407249801918493
353.576386066,1, ,Upper Elklick Run,353.57638606620344
92.4254737825,1, ,Stonelick Run,92.42547378323906
172.673077034,1, ,Stonelick Run,172.67307703380806
416.284595268,1, ,Stonelick Run,416.28459526401394
92.4626390455,2, ,Upper Elklick Run,92.46263904513562
189.048989128,1, ,Upper Elklick Run,189.04898912849092
228.41772053,1, ,Upper Elklick Run,228.4177205284726
189.401571416,2, ,Upper Elklick Run,189.40157141931084
177.620601138,1, ,Upper Elklick Run,177.62060113490054
182.371063386,1, ,Upper Elklick Run,182.37106338239224
219.427834354,2, ,Stonelick Run,219.4278343519982
394.183853159,2,Yes,Stonelick Run,394.18385316139296
358.612548744,1, ,Stonelick Run,358.61254874227086
181.320195282,1, ,Upper Elklick Run,181.32019528338327
209.0423853,1, ,Upper Elklick Run,209.04238529623967
51.7005742931,2, ,Stonelick Run,51.700574292842234
81.3400370119,2, ,Stonelick Run,81.34003701102577
128.27760219,2, ,Stonelick Run,128.27760218919067
155.226936653,1, ,Upper Elklick Run,155.2269366537098
14.6694037471,1, ,Upper Elklick Run,14.669403745551486
32.9638880931,1, ,Stonelick Run,32.963888091199564
30.5675854362,1, ,Stonelick Run,30.567585433811566
71.8647314358,1, ,Stonelick Run,71.86473143600237
152.535356976,2,Yes,Upper Elklick Run,152.53535697261952
614.600509596,2, ,Upper Elklick Run,614.6005095971185
117.917350681,1, ,Upper Elklick Run,117.91735068014184
104.631334167,1, ,Upper Elklick Run,104.6313341682928
62.2426609903,1, ,Upper Elklick Run,62.24266098699675
138.447208006,1, ,Stonelick Run,138.4472080049748
101.256224832,1, ,Upper Elklick Run,101.25622483378739
113.146688332,2, ,Upper Elklick Run,113.14668832968175
172.87894636,1, ,Upper Elklick Run,172.87894636412102
155.465752658,1, ,Upper Elklick Run,155.4657526602147
106.233085765,2, ,Upper Elklick Run,106.2330857686558
177.066179994,1, ,Upper Elklick Run,177.06617999997573
276.643335796,1, ,Sugarcamp Run,276.6433357966798
128.890156902,1, ,Sugarcamp Run,128.89015690303185
400.949794107,1, ,Stonelick Run,400.94979410543266
193.977676813,1, ,Upper Elklick Run,193.97767681194708
133.229735243,1, ,Upper Elklick Run,133.22973523972922
165.189255906,2, ,Sugarcamp Run,165.18925590785062
288.039625837,1, ,Sugarcamp Run,288.0396258375465
66.0743085584,2, ,Upper Elklick Run,66.07430855793044
313.793219733,1, ,Upper Elklick Run,313.7932197336444
131.516495509,2,Yes,Upper Elklick Run,131.51649550914834
365.62061236,1, ,Sugarcamp Run,365.62061235757153
387.863269981,1, ,Sugarcamp Run,387.86326998089174
573.461255883,1, ,Stonelick Run,573.4612558863022
100.854427561,2, ,Sugarcamp Run,100.85442756131611
286.73217698,1, ,Sugarcamp Run,286.73217697992817
54.9170313095,1, ,Sugarcamp Run,54.917031307063
57.4844207555,2,Yes,Upper Elklick Run,57.48442075924819
409.557981375,1, ,Upper Elklick Run,409.5579813761991
244.606185077,2, ,Sugarcamp Run,244.60618507967268
77.7693702335,1, ,Sugarcamp Run,77.76937023225196
128.887873132,1, ,Sugarcamp Run,128.88787313271436
399.000977279,2, ,Sugarcamp Run,399.0009772788094
132.548921991,1, ,Upper Elklick Run,132.54892198850996
265.686940396,2, ,Upper Elklick Run,265.68694039443676
387.77746033,2, ,Sugarcamp Run,387.7774603304338
178.8575819,1, ,Sugarcamp Run,178.857581900064
238.937056325,1, ,Sugarcamp Run,238.93705632713107
241.967566519,1, ,Upper Elklick Run,241.9675665158146
109.296928856,1, ,Upper Elklick Run,109.29692885642316
814.346092392,3,Yes,Sugarcamp Run,814.3460923933501
234.622808066,2, ,Sugarcamp Run,234.6228080652592
267.325105079,1, ,Upper Elklick Run,267.3251050746311
230.598802998,1, ,Sugarcamp Run,230.59880299795978
123.409784946,1, ,Canoe Run,123.4097849435779
408.027620131,1, ,Canoe Run,408.02762013018236
123.649119932,1, ,Canoe Run,123.64911993011967
117.208049456,1, ,Canoe Run,117.20804945735752
674.176161807,4,Yes,Canoe Run,674.1761618027167
253.950525494,2, ,Canoe Run,253.9505254922762
357.985295715,2, ,Canoe Run,357.9852957168115
159.479092184,3,Yes,Canoe Run,159.47909218347465
190.388583836,1, ,Canoe Run,190.38858383658493
101.319314369,2,Yes,Canoe Run,101.31931436992353
45.8681281023,2, ,Canoe Run,45.868128104379394
78.3115745898,2,Yes,Canoe Run,78.31157458765519
315.747798571,1, ,Canoe Run,315.74779857040375
611.606462408,3,Yes,Canoe Run,611.6064624085345
212.972067481,4,Yes,Canoe Run,212.9720674810976
112.529890782,1, ,Canoe Run,112.52989078375522
70.6891103688,1, ,Canoe Run,70.68911036691756
133.018100154,1, ,Canoe Run,133.0181001570972
778.254177582,4,Yes,Canoe Run,778.2541775799442
234.745719338,3,Yes,Canoe Run,234.74571933761467
326.110777844,1, ,Canoe Run,326.11077784097546
243.248946956,1, ,Canoe Run,243.2489469523527
396.200458911,2, ,Canoe Run,396.20045891068617
184.903085731,1, ,Canoe Run,184.9030857298012
68.0241607174,2, ,Canoe Run,68.02416071662404
192.911868481,1, ,Canoe Run,192.91186848591565
515.971695473,3,Yes,Stonelick Run,515.9716954719634
41.6573212951,1, ,Lower Elklick Run,41.65732129392714
84.6798798639,1, ,Lower Elklick Run,84.6798798646165
287.527392606,3,Yes,Stonelick Run,287.5273926056431
136.461114277,3,Yes,Stonelick Run,136.46111427612956
346.38693525,1, ,Fire Run,346.38693524964884
26.4318515658,3,Yes,Sugarcamp Run,26.431851565751536
65.7696072846,3,Yes,Sugarcamp Run,65.7696072856995
26.7613614599,3,Yes,Hickman Slide,26.761361460709004
25.819808248,4,Yes,Lower Elklick Run,25.819808246568048
35.5044561464,4,Yes,Lower Elklick Run,35.504456146376896
490.338626142,2,Yes,Tippy Toe Run,490.33862614456535
434.267165075,2,Yes,Tippy Toe Run,434.26716507214985
213.121956004,2, ,Tippy Toe Run,213.1219560066579
52.9382431941,3,Yes,Hickman Slide,52.93824319140185
57.7577733172,3,Yes,Hickman Slide,57.757773318282744
30.5996915852,3,Yes,Hickman Slide,30.59969158730641
2.45028697111,3,Yes,Hickman Slide,2.4502869729890824
199.93655282,3,Yes,Hickman Slide,199.93655281789154
119.356625858,2,Yes,Hickman Slide,119.35662585904825
3.0103986447,2,Yes,Hickman Slide,3.010398644698074
121.953883969,1,Yes,Hickman Slide,121.9538839685311
699.777695612,1, ,Hickman Slide,699.7776956159969
195.370809052,2,Yes,Hickman Slide,195.37080905283602
78.565817137,2, ,Hickman Slide,78.5658171378788
237.630890126,2,Yes,Bear Run,237.6308901247393
21.508302239,2,Yes,Bear Run,21.508302237437157
264.164876596,2, ,Bear Run,264.1648765950985
92.5691426807,2,Yes,Bear Run,92.56914268111035
386.43904082,4,Yes,Upper Elklick Run,386.43904082315333
9.5951240879,4,Yes,Upper Elklick Run,9.595124087264322
35.3136270562,4,Yes,Upper Elklick Run,35.313627056409295
111.62204208,4,Yes,Upper Elklick Run,111.62204207757186
34.1975884348,4,Yes,Upper Elklick Run,34.19758843489373
47.9269175511,4,Yes,Upper Elklick Run,47.92691755124427
97.1754159482,4,Yes,Upper Elklick Run,97.17541594767933
155.434825934,4,Yes,Upper Elklick Run,155.43482593396132
36.8813448864,4,Yes,Upper Elklick Run,36.88134488555188
23.020370174,4,Yes,Upper Elklick Run,23.020370173936314
48.4288433039,4,Yes,Upper Elklick Run,48.42884330000383
29.260480093,4,Yes,Upper Elklick Run,29.260480093769402
43.5990235878,4,Yes,Upper Elklick Run,43.59902358964701
63.2500555162,3,Yes,Upper Elklick Run,63.25005551497689
16.7322457835,3,Yes,Upper Elklick Run,16.732245780844806
33.461685101,3,Yes,Upper Elklick Run,33.461685103321244
43.3766661319,3,Yes,Upper Elklick Run,43.37666613325907
86.8990063966,3,Yes,Upper Elklick Run,86.89900639987226
30.5657232996,3,Yes,Upper Elklick Run,30.56572329647691
83.7649350497,3,Yes,Upper Elklick Run,83.7649350491699
12.066220759,3,Yes,Upper Elklick Run,12.066220757847518
43.6208169587,3,Yes,Upper Elklick Run,43.62081695923517
64.1969203038,3,Yes,Upper Elklick Run,64.19692030240508
3.74910606661,3,Yes,Upper Elklick Run,3.7491060670293463
52.7983784005,3,Yes,Upper Elklick Run,52.798378401709314
42.8516648584,3,Yes,Upper Elklick Run,42.851664857098356
7.52599661298,3,Yes,Upper Elklick Run,7.525996611745184
49.7682103287,2,Yes,Upper Elklick Run,49.768210331038
144.567985115,2,Yes,Upper Elklick Run,144.56798511099348
5.85768725776,2,Yes,Upper Elklick Run,5.8576872569299905
40.6607166254,2,Yes,Upper Elklick Run,40.660716626829426
16.3001110673,2,Yes,Upper Elklick Run,16.300111065184712
262.505611899,2,Yes,Upper Elklick Run,262.5056118995288
275.331917795,2,Yes,Upper Elklick Run,275.33191779934333
165.61628196,2, ,Upper Elklick Run,165.6162819589284
66.3204722592,2,Yes,Upper Elklick Run,66.320472260651
59.4990574953,2,Yes,Upper Elklick Run,59.49905749507728
56.344382337,1,Yes,John B Hollow,56.34438233612719
178.397428382,1, ,John B Hollow,178.39742838229046
70.4853204984,1, ,John B Hollow,70.4853204970542
23.027646111,1, ,John B Hollow,23.027646112823533
108.023407546,1, ,John B Hollow,108.02340754931315
22.7378598513,1,Yes,John B Hollow,22.737859850026226
30.043037592,2,Yes,Big Spring Run,30.04303759385541
17.5958564353,2, ,Big Spring Run,17.595856434063656
66.1545764804,3,Yes,Camp Hollow,66.15457648183934
254.231588996,3, ,Camp Hollow,254.2315889966873
82.8522482115,3,Yes,Camp Hollow,82.85224821222289
58.4671567193,2,Yes,Camp Hollow,58.46715671855163
89.9549505589,2,Yes,Camp Hollow,89.9549505575875
64.7846848259,2, ,Camp Hollow,64.78468482828971
52.1883975403,2,Yes,Camp Hollow,52.18839753983033
118.02751477,2, ,Sugarcamp Run,118.02751477006262
58.2098687032,2, ,Sugarcamp Run,58.20986870439469
132.59611101,2,Yes,Sugarcamp Run,132.59611100911877
45.3995639821,3, ,Canoe Run,45.399563982144386
289.521365264,3,Yes,Canoe Run,289.52136526281845
199.17909308,2,Yes,Canoe Run,199.17909308017073
229.136945652,2,Yes,Canoe Run,229.13694565303425
244.085563756,1, ,Canoe Run,244.08556375557058
48.6225288809,1,Yes,Canoe Run,48.62252888028221
