OBJECTID_1,AREA,PERIMETER,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Leng,cty_name,mnf_code,descriptio,Shape_Length,Shape_Area
27768,23268.2930723,769.181311517,WV602,2.0,CaD,513981,769.181173441,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",769.181173441351,23268.290554466967
27772,19569.7002727,634.743361515,WV602,2.0,CaC,513979,634.743345884,NRand_Tuck,CaC09,"CALVIN CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",634.7433458836412,19569.6953195293
27780,21792.2232165,834.079723787,WV602,2.0,McC,514026,834.079752922,NRand_Tuck,McC09,"MECKESVILLE SILT LOAM, 8 TO 15 PERCENT SLOPES",834.0797529215355,21792.22589207099
27796,81705.332612,1831.1692536,WV602,2.0,CaD,513981,1831.1692523,NRand_Tuck,CaD09,"CALVIN CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES",1831.1692523027139,81705.33066648539
27805,10299.2680002,445.895413866,WV602,2.0,ChC,513987,445.895455607,NRand_Tuck,ChC09,"CATEACHE CHANNERY SILT LOAM, 8 TO 15 PERCENT SLOPES",445.8954556067198,10299.267513735464
27810,5043.9708817,292.196366018,WV602,2.0,DaC,513997,292.19621153,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",292.196211530014,5043.965995654614
27815,320951.067471,4819.37797017,WV602,2.0,CnF,513993,4819.37809634,NRand_Tuck,CnF09,"CATEACHE CHANNERY SILT LOAM, 35 TO 65 PERCENT SLOPES, RUBBLY",4803.881600080344,320751.70792984596
27832,14140.7159182,620.426617446,WV602,2.0,BnD,513969,620.426646088,NRand_Tuck,BnD09,"BELMONT CHANNERY SILT LOAM, 15 TO 25 PERCENT SLOPES, VERY STONY",620.4266460879136,14140.721082367932
27846,7977.61092365,494.667678053,WV602,2.0,DaC,513997,494.667567391,NRand_Tuck,DaC09,"DEKALB CHANNERY LOAM, 8 TO 15 PERCENT SLOPES",494.6675673905967,7977.608894684957
27852,12944.2166941,522.222498945,WV602,2.0,CnC,513991,522.222516701,NRand_Tuck,CnC09,"CATEACHE CHANNERY SILT LOAM, 3 TO 15 PERCENT SLOPES, RUBBLY",495.6729777760482,12140.750456007778
