plot_id,dem5_pt,slope5_pt,north5_pt,east5_pt,tpi50_pt,tpi200_pt,twi5_pt,dem5_fp,slope5_fp,north5_fp,east5_fp,tpi50_fp,tpi200_fp,twi5_fp
WS5-1,779.57837,8.9762516,-0.26278844,-0.96485347,1.4157715,-10.01532,5.4994521,779.5216140747071,9.092510372400284,-0.1755487852497026,-0.9760890193283556,1.445526123046875,-9.852928161621092,5.587014079093932
WS5-2,780.69714,19.323423,0.57416594,0.81873894,1.3637695,1.4893188,4.2891746,780.1830159505209,19.727491124471022,0.5741848846276603,0.8129046479860941,1.1661580403645833,1.02076416015625,4.403874111175536
WS5-3,782.43597,19.517115,-0.035020147,0.99938661,2.1664429,0.47851562,5.4777861,782.6592122395833,19.63834590911865,-0.0692399417360623,0.9765482703844706,1.4831298828125,0.3850830078125,5.649725532531739
WS5-4,767.76141,17.070835,0.39811185,0.91733688,-3.9535522,-10.273438,5.8790774,768.0318260192871,14.743078887462614,0.0291717648506164,0.8497926276177168,-3.854625701904297,-10.138950347900392,7.2861252427101135
WS5-5,748.17908,19.966772,-0.57430196,0.81864351,0.36523438,-4.5724487,5.3132663,747.6192855834961,18.593928575515747,-0.5380176939070224,0.8408911265432835,0.2203903198242187,-5.277030944824219,5.508569985628127
WS4A-11,831.33942,4.3132839,-0.30940998,0.95092875,1.1063232,4.5124512,4.1940737,830.8768107096354,5.132684230804442,-0.3732505072529117,0.8950443069140116,0.8387451171874999,4.328006998697917,6.564763927459717
WS2B-1,733.05396,18.216755,-0.26605579,-0.96395761,-0.54779053,-5.7099609,5.5606685,732.3511424345129,20.106632793650903,-0.2557817259255577,-0.966218944858102,-0.8588364545036764,-6.5892333984375,5.175891483531278
WS2A-5,745.41571,26.176903,-0.43033507,0.90266919,0.47387695,-5.1325684,5.4707932,744.9850997924804,25.709006905555725,-0.4315491877496243,0.9003500752151011,0.6330604553222657,-5.669021606445312,5.3679258823394775
WS4A-13,765.35419,9.1970339,-0.72079694,0.69314629,-4.1046753,-21.639099,7.7067881,765.9377059936523,10.32773181796074,-0.7474188730120659,0.6256964728236197,-3.919132232666016,-21.35387802124023,7.370733022689819
WS4A-10,858.54755,9.3106565,-0.12244467,0.99247533,1.2439575,11.322083,4.9450145,858.0059547424316,9.945061862468718,-0.1197697217576205,0.9850708656013012,1.0998268127441406,10.943775177001951,5.2009141743183145
WS2B-2,746.08569,23.574339,-0.43355864,-0.90112537,0.076538086,-11.082397,4.9901776,745.2610282897949,22.98439514636993,-0.4588583372533321,-0.8873770758509636,-0.2541465759277344,-11.721069335937498,4.971978545188904
WS4A-9,842.82208,12.661911,-0.31955931,0.94756627,-0.30462646,2.8907471,6.7956381,843.0518150329591,12.224388659000397,-0.3022698368877173,0.946060821413994,-0.2650260925292969,3.169315338134766,6.649286478757858
WS2A-3,765.43939,21.645493,-0.42671886,0.90438432,-0.31420898,-11.765381,5.952805,764.6158409118651,20.63055956363678,-0.4479138236492873,0.8938267305493355,-0.5619735717773438,-12.503101348876951,5.767501115798951
WS2B-4,776.73236,21.825201,0.19475788,-0.98085135,-1.715332,-6.8612671,4.8573499,775.91982421875,20.88464775085449,0.1621469428141911,-0.9859761555989583,-2.0434814453125,-8.01085205078125,4.999326260884604
WS4C-1,825.85272,6.6355743,-0.99691606,0.078475676,1.0314941,2.6259766,6.28161,825.4880714416505,7.082391053438188,-0.9971647076308726,0.0666335657151648,0.9033126831054688,2.765041351318359,6.559197753667831
WS2A-1,791.46039,14.53553,-0.99546689,0.095108688,-1.699646,-2.3450928,6.7447786,791.6649169921874,15.108097255229948,-0.974208377301693,0.1764627617085352,-1.6768646240234375,-2.247756958007813,6.393398940563203
WS4B-1,856.07281,10.947095,-0.47928697,0.87765825,0.30175781,11.451843,5.4323659,856.2500813802084,11.47002271016439,-0.4964119295279185,0.8675009012222291,0.4410725911458333,11.720182291666664,5.202074845631916
WS5-6,816.19037,17.710596,0.89136559,-0.4532851,6.055603,19.883545,3.8119049,814.2805023193359,22.26576030254364,0.8864110745489598,-0.4220818160101771,5.272815704345703,18.35239028930664,3.645875558257103
