AREA,PERIMETER,SUBCLASS_,GROUP_NAME,Acres,Shape_Length,Shape_Area
8514330.0,43025.80078125,8,Calvin,2103.93615641,43025.8043776077,8514327.546875
166208.0,8056.3701171875,3,Alluvial,41.0708526329,8056.3660873359995,166207.84375
1495590.0,12398.400390625,8,Calvin,369.567808509,12398.42433883132,1495587.859375
2050450.0,18641.0,10,Dekalb,506.677063405,18640.9579651248,2050449.328125
63504.30078125,1634.199951171875,10,Dekalb,15.6922650871,1634.2010214436111,63504.34375
71500.5,2531.889892578125,10,Dekalb,17.6681544665,2531.8853548750417,71500.484375
4670.47998046875,323.9469909667969,8,Calvin,1.15410182309,323.9473552187658,4670.484375
25584.69921875,652.39697265625,13,Meckesville,6.32212554749,652.3971469232484,25584.734375
82482.6015625,3510.22998046875,8,Calvin,20.3819005152,3510.2338207816674,82482.625
1699880.0,18469.30078125,6,Belmont,420.048681173,18469.282054698957,1699876.703125
2238.22998046875,259.2019958496094,8,Calvin,0.553079759054,259.2018844529832,2238.234375
34002.80078125,1150.1800537109375,1,Shouns,8.40227023173,1150.1846581301234,34002.78125
1623.3800048828125,253.25900268554688,8,Calvin,0.401144698638,253.25852563442768,1623.375
128270.0,2915.840087890625,10,Dekalb,31.6960837281,2915.838696195888,128269.5
3055.840087890625,253.3470001220703,1,Shouns,0.755115435551,253.347399967995,3055.84375
681484.0,7413.580078125,1,Cateache,168.39827498,7413.583838564319,681483.640625
21501.0,884.666015625,13,Meckesville,5.31301666792,884.6660997133887,21501.015625
3998.77001953125,414.9679870605469,1,Shouns,0.988116505145,414.9678450521052,3998.765625
331491.0,4331.68994140625,10,Dekalb,81.91321773,4331.689492394887,331491.03125
2065.530029296875,365.34698486328125,1,Shouns,0.510403887447,365.3473552662917,2065.53125
25531.599609375,1276.7900390625,10,Dekalb,6.30899035204,1276.7860198406033,25531.578125
6102.330078125,311.91400146484375,5,Barbour-Pope,1.50791811921,311.9135852756747,6102.328125
58883.69921875,1768.06005859375,9,Cookport,14.5504837839,1768.0638701369176,58883.71875
62773.69921875,2384.169921875,8,Calvin,15.5117198568,2384.1709563308614,62773.703125
27999.400390625,1311.9300537109375,11,Ernest,6.91879624018,1311.931158092167,27999.375
61115.8984375,1419.2900390625,10,Dekalb,15.1020693276,1419.29341316693,61115.90625
871.6409912109375,254.21600341796875,1,Shouns,0.215387089134,254.21603859487294,871.640625
47014.0,1168.27001953125,11,Ernest,11.6174201263,1168.2701076913656,47014.03125
5533.1298828125,306.4849853515625,1,Shouns,1.36726496385,306.48476777011393,5533.125
1872.030029296875,199.89999389648438,7,Brinkerton,0.462588996138,199.89966358698172,1872.03125
59400.1015625,1282.510009765625,1,Rock,14.6780905473,1282.5142467978985,59400.125
6998.02978515625,490.5769958496094,1,Shouns,1.72925118156,490.57653963336645,6998.03125
12050.099609375,522.8350219726562,10,Dekalb,2.97764301285,522.8347347572796,12050.09375
10233.099609375,548.4359741210938,10,Dekalb,2.52866025673,548.4359016511154,10233.125
20821.5,787.5679931640625,10,Dekalb,5.14510083922,787.5684834764998,20821.484375
7561.830078125,378.34100341796875,10,Dekalb,1.86856842339,378.3409103591838,7561.828125
18297.400390625,950.9619750976562,10,Dekalb,4.52139141234,950.9623492490957,18297.421875
129220.0,1886.449951171875,10,Dekalb,31.9308801728,1886.4530453316725,129219.6875
71431.203125,2588.81005859375,1,Shouns,17.6510269748,2588.811398993179,71431.171875
107918.0,6833.60009765625,3,Alluvial,26.6671340012,6833.601103617704,107918.0625
484.0469970703125,140.6510009765625,1,Shouns,0.119610587671,140.65091235318116,484.046875
5358.66015625,434.989990234375,1,Rock,1.3241527968,434.990040857026,5358.65625
16876.599609375,510.6839904785156,10,Dekalb,4.1703048585,510.6843527996078,16876.625
108586.0,1592.47998046875,10,Dekalb,26.8322119792,1592.4791621333472,108586.109375
126914.0,2812.4599609375,10,Dekalb,31.3611825768,2812.460749995895,126914.203125
5463.52001953125,321.135009765625,10,Dekalb,1.35006411267,321.13500474852106,5463.515625
773.2340087890625,357.4159851074219,1,Cateache,0.191070375182,357.4162933409863,773.234375
29054.099609375,694.0150146484375,11,Ernest,7.17942678027,694.0147193229628,29054.109375
10594.5,594.7030029296875,10,Dekalb,2.61796954703,594.7025200800978,10594.546875
39300.1015625,1437.1199951171875,13,Meckesville,9.71126465778,1437.121201478252,39300.09375
24272.30078125,857.7849731445312,1,Cateache,5.99781131738,857.784733940616,24272.28125
190634.0,3300.330078125,10,Dekalb,47.1067529279,3300.327780148722,190634.265625
657.7969970703125,139.677001953125,12,Gilpin,0.162545147729,139.67667823580274,657.796875
18102.0,718.875,13,Meckesville,4.47310161527,718.8750836646362,18102.0
34890.80078125,1392.9599609375,13,Meckesville,8.62171525456,1392.9596871886492,34890.84375
29176.80078125,1473.0899658203125,1,Shouns,7.20975124379,1473.092072818681,29176.828125
39122.5,958.447998046875,12,Gilpin,9.6673725644,958.4476046243608,39122.46875
2193.050048828125,318.17999267578125,13,Meckesville,0.541913684605,318.18027967646043,2193.046875
6915.18994140625,426.2349853515625,9,Cookport,1.70878004511,426.2348340089189,6915.1875
57540.19921875,2439.639892578125,10,Dekalb,14.2184977039,2439.640151034499,57540.21875
554568.0,4391.5,1,Cateache,137.036629081,4391.50086988414,554567.5625
138417.0,3641.659912109375,12,Gilpin,34.2035315324,3641.656514796013,138416.78125
83779.1015625,3219.489990234375,1,Shouns,20.70226492,3219.4941026677398,83779.09375
16437.099609375,666.031982421875,10,Dekalb,4.06170590439,666.0322295760502,16437.140625
279413.0,3517.219970703125,13,Meckesville,69.0444636738,3517.2191973994222,279413.03125
25176.5,837.8560180664062,10,Dekalb,6.22125635859,837.8562670627228,25176.53125
182.406005859375,74.33509826660156,8,Calvin,0.0450735659805,74.33513149022286,182.40625
206084.0,2601.14990234375,1,Rock,50.9245503767,2601.1487149967043,206084.34375
15241.2998046875,678.718994140625,11,Ernest,3.76619875635,678.7194961690459,15241.265625
13171.400390625,538.8499755859375,10,Dekalb,3.2547330879,538.8496071643198,13171.4375
82170.6015625,2738.659912109375,10,Dekalb,20.3048036359,2738.663581346548,82170.625
268.0780029296875,98.13469696044922,1,Rock,0.0662435473326,98.13471533462136,268.078125
61551.5,1728.4300537109375,10,Dekalb,15.2097068874,1728.4335083442631,61551.5
13443.2001953125,473.71600341796875,10,Dekalb,3.32189169736,473.7162251164889,13443.21875
24036.5,630.8319702148438,8,Calvin,5.93956008471,630.8322332616516,24036.546875
12.0,16.430400848388672,1,Cateache,0.00296526457853,16.430355555900125,12.0
1136.1400146484375,443.9679870605469,8,Calvin,0.280746462557,443.96770947282045,1136.140625
5169.27001953125,371.9670104980469,1,Shouns,1.27735335412,371.9674470601784,5169.265625
4426.7998046875,301.02899169921875,1,Cateache,1.09388533045,301.02949047961135,4426.796875
