AREA,PERIMETER,SURF_GEO_T,A1,A2,A3,A4,A5,SURF_GEO_G,Shape_Length,Shape_Area
1446.9100341796875,152.75999450683594,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,152.76016922586143,1446.90625
320168.0,3824.31005859375,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,3824.3106801576023,320167.578125
1258.27001953125,211.1699981689453,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,211.16983735121286,1258.265625
4186.75,413.65399169921875,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,413.65415337411974,4186.75
78879.5,2047.5400390625,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,2047.539826728093,78879.546875
11334.900390625,616.1680297851562,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,616.1675603546246,11334.890625
323.93798828125,86.5447998046875,no data collected,no data collected, , , , ,streams,86.54480286409633,323.9375
11468.900390625,941.8489990234375,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,941.8492732490384,11468.859375
500.906005859375,145.5070037841797,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,145.50748891023022,500.90625
59751.5,1553.3199462890625,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,1553.3158310683784,59751.5
821.468994140625,119.697998046875,no data collected,no data collected, , , , ,streams,119.69752155265742,821.46875
865.5469970703125,134.13299560546875,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,134.13288734510522,865.546875
1239.280029296875,344.1650085449219,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,344.1647557264688,1239.28125
1656.1400146484375,213.1719970703125,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,213.17159394895089,1656.140625
1057.280029296875,257.5450134277344,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,257.5445328498284,1057.28125
5474.97021484375,327.3970031738281,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,327.39696405631537,5474.96875
5691.60986328125,1881.1199951171875,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, allluvial",Floodplain 2,cobble-boulder-loam,alluvial, , ,streams,1881.1231318773587,5691.609375
9698.76953125,437.656005859375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,437.65554524799967,9698.765625
1299.4200439453125,156.0570068359375,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,156.05738964630802,1299.421875
3.546880006790161,14.596400260925293,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , , ,14.596360078169948,3.546875
648.68798828125,140.75100708007812,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,140.75145507389334,648.6875
4078.659912109375,347.22198486328125,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,347.22172145806735,4078.65625
453.781005859375,106.03299713134766,no data collected,no data collected, , , , ,streams,106.03324525884713,453.78125
1155.219970703125,176.63400268554688,no data collected,no data collected, , , , ,streams,176.63375612048068,1155.21875
941.625,204.63400268554688,no data collected,no data collected, , , , ,streams,204.63417199539086,941.625
1015.030029296875,324.4739990234375,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,324.4742825994012,1015.03125
165.5,56.172698974609375,no data collected,no data collected, , , , ,streams,56.17273011271221,165.5
108.375,48.87919998168945,no data collected,no data collected, , , , ,streams,48.87921670235024,108.375
4090.219970703125,340.7090148925781,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,340.7091597753784,4090.21875
374.0159912109375,101.19499969482422,no data collected,no data collected, , , , ,streams,101.19528459967063,374.015625
2139.5,288.2919921875,no data collected,no data collected, , , , ,streams,288.29152508727253,2139.5
1244.969970703125,180.75999450683594,no data collected,no data collected, , , , ,streams,180.76024089026518,1244.96875
1905.949951171875,176.625,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,176.62518398068485,1905.953125
710.9840087890625,145.2989959716797,no data collected,no data collected, , , , ,streams,145.29870134634737,710.984375
50454.30078125,1088.1700439453125,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,1088.1745528589715,50454.296875
1744.6700439453125,274.4960021972656,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,274.49564044978416,1744.671875
3350.800048828125,407.3349914550781,no data collected,no data collected, , , , ,streams,407.33452011861476,3350.796875
90473.0,2778.070068359375,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,2778.0665967487353,90473.046875
151663.0,3863.419921875,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,3863.4171081140635,151662.5625
1883.719970703125,458.22698974609375,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,458.2268172106827,1883.71875
2060.080078125,209.5749969482422,"Boulder, stream boulders",Boulder,stream boulders, , , ,colluvium,209.57541620738613,2060.078125
673.9219970703125,112.81099700927734,no data collected,no data collected, , , , ,streams,112.81136360467744,673.921875
5047.81005859375,361.60198974609375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,361.6017908043773,5047.8125
17688.19921875,928.1669921875,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,928.1669474595077,17688.21875
4096.68994140625,280.0530090332031,no data collected,no data collected, , , , ,streams,280.0533817277693,4096.6875
734.375,115.9010009765625,no data collected,no data collected, , , , ,streams,115.9014957325765,734.375
1690.3900146484375,491.968994140625,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,491.968629609184,1690.390625
10931.2001953125,698.583984375,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,698.5841970944073,10931.234375
2686.18994140625,216.1020050048828,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,216.1018687635176,2686.1875
4337.7998046875,501.4909973144531,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,501.4913850442888,4337.796875
988.2030029296875,252.56900024414062,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,252.5685325747344,988.203125
1750.1600341796875,297.50799560546875,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,297.5075183720972,1750.15625
471474.0,5370.509765625,"Veneer: cobble to boulder diamict, loam matrix",Veneer,cobble to boulder diamict,loam matrix, , ,colluvium,5370.5076196899,471473.765625
1770.6300048828125,185.0449981689453,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,185.04547553795047,1770.625
493.5159912109375,166.78500366210938,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,166.78474390736386,493.515625
1054.06005859375,509.47198486328125,"Channel-way, cobbles-boulders, alluvial (may include active narrow floodplain)",Channel-way,cobbles-boulders,alluvial,may include active narrow floodplain, ,streams,509.4724096646399,1054.0625
431.0469970703125,104.70800018310547,"Apron, cobble-boulder diamict with silty loam matrix",Apron,cobble-boulder diamict,silty loam matrix,Pottsville boulder apron, ,colluvium,104.70771738315312,431.046875
361.406005859375,94.53189849853516,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,94.53189783672555,361.40625
24497.599609375,793.4910278320312,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,793.4912150531131,24497.625
317.8280029296875,86.77330017089844,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,86.77326555813038,317.828125
752.718994140625,130.73300170898438,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,130.7327700404743,752.71875
543.31298828125,135.26100158691406,"Terrace, 2 to 4m above active channel, alluvial",Terrace,2 to 4m above active channel,alluvial, , ,streams,135.26140344173254,543.3125
23184.599609375,792.969970703125,"Veneer: cobble-boulder diamict, silty-loam matrix",Veneer,cobble-boulder diamict,silty-loam matrix, , ,residium,792.9696381040319,23184.640625
342.7659912109375,93.07250213623047,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,93.07250175310676,342.765625
542.93798828125,128.6060028076172,"High-level fan-terraces, cobble-boulder diamict, silty-loam matrix, alluvial",High-level fan-terraces,cobble-boulder diamict,silty-loam matrix,alluvial, ,fans,128.60570629407462,542.9375
644.6090087890625,124.86599731445312,"Floodplain 2 (1 to 2m above channel), cobble-boulder-loam, alluvial",Floodplain 2,1 to 2m above channel,cobble-boulder-loam,alluvial, ,streams,124.86627691372534,644.609375
1513.219970703125,168.76300048828125,"Cove deposit, cobble-boulder diamict with silty loam matrix",Cove deposit,cobble-boulder diamict,silty loam matrix, , ,colluvium,168.76323290416343,1513.21875
41422.0,1108.6600341796875,"Veneer: cobble-boulder diamict, loamy matrix (Price bench residium)",Veneer,cobble-boulder diamict,loamy matrix,Price bench residium, ,residium,1108.6558579602531,41422.015625
11333.2998046875,581.8820190429688,"Veneer: cobble to boulder diamict, silty loam matrix",Veneer,cobble to boulder diamict,silty loam matrix, , ,colluvium,581.8820308911794,11333.25
