source_sample_id,watershed,soil_subcomp,soil_plot,depth,depth_code,frac_soil_wt_g,LF_g,POM_g,MAOM_g,total_frac_g,LF_C_perc,LF_N_perc,POM_C_perc,POM_N_perc,MAOM_C_perc,MAOM_N_perc,LF_C_gcm3,LF_N_gcm3,hPOM_C_gcm3,hPOM_N_gcm3,MAOM_C_gcm3,MAOM_N_gcm3,LF_C_gm2,LF_N_gm2,hPOM_C_gm2,hPOM_N_gm2,MAOM_C_gm2,MAOM_N_gm2,total_POC_gm2,MAOC_hPOC,MAOC_tot_POC,treatment,composite_note
37,WS2,WS2a,7,0 to 20,0-20,5.9445,0.2732,1.4423,4.38,6.0954999999999995,28.33,0.55,0.78,0.19,2.35,0.14,0.013843685319905756,0.000268761981148894,0.0020122162666086703,0.0004901552444303172,0.018410535551481203,0.0010967978626414336,2768.7370639811516,53.7523962297788,402.4432533217341,98.03104888606343,3682.1071102962405,219.35957252828672,3171.1803173028857,9.149382130038026,1.161115654699794,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
38,WS2,WS2a,7,20 to 40,20-40,5.9326,0.093,1.6292,4.13,5.8522,25.4,0.43,0.24,0.03,0.64,0.05,0.004774559915033544,8.082916391592221e-05,0.0007903188228166267,9.878985285207834e-05,0.005342526783259954,0.0004173849049421839,954.9119830067087,16.16583278318444,158.06376456332535,19.75797057041567,1068.5053566519905,83.47698098843678,1112.9757475700342,6.759963990506587,0.9600437017471979,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
43,WS2,WS2a,8,0 to 20,0-20,5.7245,0.2313,2.3222,3.34,5.8934999999999995,31.41,0.7,1.46,0.07,3.37,0.2,0.00941208249947578,0.00020975669371642937,0.004392326671956685,0.00021059100481984108,0.014582048008976502,0.0008654034426692287,1882.416499895156,41.95133874328587,878.4653343913369,42.118200963968214,2916.4096017953007,173.08068853384572,2760.881834286493,3.3198915058110927,1.056332641831084,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
44,WS2,WS2a,8,20 to 40,20-40,5.8023,0.1274,1.6271,4.12,5.8745,33.96,0.72,0.46,0.03,1.4,0.09,0.008142602419940935,0.00017263468028143325,0.0014086340987650794,9.186744122380952e-05,0.010855538503655447,0.0006978560466635646,1628.5204839881872,34.52693605628665,281.7268197530159,18.3734882447619,2171.1077007310896,139.5712093327129,1910.247303741203,7.706428882541091,1.136558442710006,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
49,WS2,WS2b,9,0 to 20,0-20,5.506,0.2056,2.2134,3.2,5.619,34.66,1.01,0.74,0.04,1.64,0.12,0.01173536869549184,0.0003419712170353941,0.002697346226074588,0.0001458024987067345,0.008642490209778423,0.0006323773324228115,2347.073739098368,68.39424340707882,539.4692452149176,29.160499741346896,1728.4980419556846,126.4754664845623,2886.5429843132856,3.2040715152669605,0.5988125073311173,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
50,WS2,WS2b,9,20 to 40,20-40,5.8828,0.1743,1.9626,3.88,6.0169,29.98,0.6,4.31,0.18,2.08,0.14,0.0065302395985404335,0.0001306919199174203,0.01057083186411354,0.000441473256505902,0.010085447222237032,0.0006788281784198003,1306.0479197080867,26.13838398348406,2114.166372822708,88.29465130118038,2017.0894444474063,135.76563568396008,3420.214292530795,0.9540826447609747,0.5897552819577444,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
55,WS2,WS2a,10,0 to 20,0-20,5.8125,0.2257,1.3678,4.35,5.943499999999999,29.2,0.97,1.83,0.1,3.58,0.24,0.009158177923058237,0.0003042271433344689,0.0034783105599293937,0.00019007161529668818,0.0216404830020129,0.0014507586370064512,1831.6355846116473,60.84542866689378,695.6621119858788,38.014323059337634,4328.0966004025795,290.15172740129026,2527.2976965975263,6.221549982141956,1.7125392889921316,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
56,WS2,WS2a,10,20 to 40,20-40,5.896,0.0434,1.394,4.5,5.9374,42.13,1.17,0.45,0.03,1.07,0.1,0.0032280896161740297,8.964787208458615e-05,0.0011074896640013568,7.38326442667571e-05,0.008500817363568522,0.0007944689124830393,645.6179232348059,17.92957441691723,221.49793280027137,14.766528853351419,1700.1634727137043,158.89378249660786,867.1158560350773,7.675753228120517,1.9607108564336158,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
61,WS2,WS2a,11,0 to 20,0-20,5.7706,0.095,2.4868,3.1739,5.755700000000001,38.37,0.97,1.08,0.05,2.08,0.12,0.0037442173391631726,9.465443885817768e-05,0.002758736747007244,0.00012771929384292795,0.006781132337094931,0.0003912191732939383,748.8434678326346,18.930887771635536,551.7473494014489,25.54385876858559,1356.2264674189862,78.24383465878766,1300.5908172340835,2.458057059794232,1.042777212823339,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
62,WS2,WS2a,11,20 to 40,20-40,5.9003,0.0641,2.1571,3.9294,6.150599999999999,38.36,0.75,0.28,0.02,0.79,0.07,0.004586050165191316,8.966469301077912e-05,0.0011264981508516787,8.046415363226276e-05,0.005789692591286091,0.0005130107359367424,917.2100330382632,17.932938602155822,225.29963017033572,16.092830726452554,1157.9385182572182,102.60214718734846,1142.5096632085988,5.139549130115169,1.0135043540947297,Diameter-limit,5 g from each subplot (A-C) pooled and density-fractionated; stored on subplot A row in source
