AREA,PERIMETER,PLASS1,CLASS_LEVE,CLASS_CODE,CLASS_REFE,CLASS_SHOR,CLASS_LONG,CLASS_LO_1,CLASS_SET_,CLASS_STAT,CLASS_GEOG,PARENT_CLA,Shape_Length,Shape_Area
499171.01563,13126.65033,210.0,PVPA,210.0,DeMeo et al 093002,TSCA,Eastern hemlock plant association,Tsuga canadensis,Mon ECS,Draft,Monongahela NF,21.0,13126.969106012384,499196.9913884813
410849.04688,3441.27764,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,3441.408565162099,410870.6805779183
42075.8125,1306.04331,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,1306.1074070762581,42077.99812703617
116523.73438,2093.38308,470.0,PVPA,470.0,DeMeo et al 093002,QUPR-QURU,Chestnut oak-northern red oak plant association,Quercus prinus-Quercus rubra,Mon ECS,Draft,Monongahela NF,47.0,1682.6134324765278,37081.44501440794
118006.48438,1463.13777,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,1459.0864534308494,116945.9930708921
239456.95313,3428.22755,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,3428.377970569788,239469.43061564566
96873.26563,1945.37964,470.0,PVPA,470.0,DeMeo et al 093002,QUPR-QURU,Chestnut oak-northern red oak plant association,Quercus prinus-Quercus rubra,Mon ECS,Draft,Monongahela NF,47.0,1967.1175313934198,61555.70032302472
159913.20313,1989.24243,230.0,PVPA,230.0,DeMeo et al 093002,ACSA-QURU,Sugar maple-northern red oak plant association,Acer saccharum-Quercus rubra,Mon ECS,Draft,Monongahela NF,23.0,1989.3027553334948,159921.5015765693
303955.5,2340.55291,230.0,PVPA,230.0,DeMeo et al 093002,ACSA-QURU,Sugar maple-northern red oak plant association,Acer saccharum-Quercus rubra,Mon ECS,Draft,Monongahela NF,23.0,2340.6093864297245,303971.35057267005
2750756.54688,18793.43096,220.0,PVPA,220.0,DeMeo et al 093002,ACSA-TIAM,Sugar maple-basswood plant association,Acer saccharum-Tilia americana,Mon ECS,Draft,Monongahela NF,22.0,5182.61059060024,617084.1031875052
