ID,X,Y,Plot,SHAPE@X,SHAPE@Y
" ""4-10""",-79.68860653,39.05376902,10,613472.2121000001,4323560.8138
" ""4-11""",-79.68954637,39.05339113,11,613391.4912999999,4323517.7037
" ""4-13""",-79.69127067,39.05367738,13,613241.8280999996,4323547.3221
" ""4-15""",-79.69287004,39.05448165,15,613102.1498999996,4323634.5877
" ""4-3""",-79.69127782,39.0584892,3,613233.5225999998,4324081.3201
" ""4-4""",-79.6898945,39.05923933,4,613352.0148999998,4324166.292099999
" ""4-7""",-79.68903245,39.05654756,7,613430.9106000001,4323868.6395
