AREA,PERIMETER,Comp_name,Shape_Length,Shape_Area
7.53002764747,35.1563479624, ,35.15629222113189,7.530099551197673
295.478312751,82.3183389825, ,82.31826642348697,295.47819984630326
116.768438294,78.9003171594, ,78.90026633785138,116.76767855802142
24.6093294771,41.7146986413, ,41.714736225398106,24.60877946445998
30.0899307247,35.9719315668, ,35.972000647014454,30.09051138360118
37.0683144131,63.124039914, ,63.12393830844755,37.068256804625506
511.693552288,94.7704861129, ,94.77040555892776,511.6929188107491
264.026967833,91.7599206151, ,91.75986374262433,264.02731264076823
0.382508851461,7.36943851263, ,7.369617168117979,0.3825821001652159
0.0220672872646,1.75783753951, ,1.7579520051968243,0.022074299705658856
17.1111679211,38.1030483402, ,38.103077270418936,17.111454420120285
75.6571476552,36.5780574558, ,36.578015009464096,75.65672500361688
409.28863472,103.281916091, ,103.28185955365939,409.28857308855873
487.899905444,88.5388098723, ,88.5387176300593,487.89994221718865
208.428600175,63.1613132434, ,63.161473438795866,208.42895676446327
446.762792683,89.9464755833, ,89.94638026493962,446.7625692787977
44.9811093746,53.3398074002, ,53.33975065312909,44.98126400212678
613.581589711,112.975953811,20,112.97605075534585,613.5799085561208
97.9922751909,58.4236055457,49-1,58.42355188765113,97.99184976027964
12.7841983492,20.1769736364,90,20.17703367981104,12.784264661030061
537.990721642,153.976809078,18,153.97667909118027,537.9901718801526
368.660608443,92.6173775231,16,92.61723211124699,368.6583750057034
8.4555053924,14.0811723456,19,14.081139645654943,8.455491724181643
19.8155322491,31.2397399842,18,31.23989984341126,19.815674879352166
277.26889821,69.2286895292,49-1,69.228739067017,277.26846877397617
848.882581377,114.381597678,25,114.38143117518696,848.8803317634998
83.0947333952,39.1968246575,21,39.19687933322276,83.0947187610378
266.819834524,73.3957739378,16,73.39573579597882,266.8194823887822
201.246994004,70.8349946569,17,70.83493544243709,201.24636507537886
0.00733294618383,0.493286696409,19,0.4933273557211134,0.007332020147280321
346.438535805,81.8884559843,19,81.88829666175897,346.438210676502
0.826160544971,5.1182600443,21,5.1184580764356,0.826244705744654
269.175062959,79.9753114664,17,79.97534201954728,269.1742499959655
210.643096076,64.1435343672,17,64.1434638165866,210.6440468791871
59.2194590547,36.5961669037,61,36.59626681743141,59.21964999847114
461.052316393,97.5870042982,31,97.5869141835987,461.0517062924221
7.89212208327,18.9693480368,31,18.969359930892498,7.892081250320189
335.861627347,89.6129664173,31,89.61303901906649,335.86207028261254
0.21840138824,4.07989309954,31,4.079761737993953,0.218390625086613
0.0162260746406,1.10072747289,31,1.100832551588285,0.016219470037880095
190.593963478,54.4613183576,31,54.46133787077351,190.594914843824
22.0502635175,39.6957012504,31,39.69556775514369,22.05019062710926
1.46976603209,6.72081585822,31,6.720863876165541,1.4697624998516403
440.591452778,110.319646038,WS5,110.3196264073822,440.59095852669674
643.897710628,123.441374027,WS5,123.44129074638387,643.8981421752846
269.934213045,71.6890368648,27,71.68907952059837,269.93454725449465
418.268975322,90.4165259827,WS5,90.41644309311818,418.2678965045259
322.610633725,89.2832166899,61,89.28322500849744,322.6115887559391
0.750008631056,4.20799011243,9,4.207966032129249,0.75
203.486772062,65.6810940934,9,65.681209415046,203.4880312970899
769.946594661,198.898974272,9,198.89904052971323,769.9503125282348
180.705245209,72.9963883361,7,72.99630670437999,180.70403437345522
310.06616242,99.306503047,9,99.30660330719365,310.0667031556775
256.065541465,69.2344128402,7,69.23448371956378,256.0666937578759
147.892376923,57.5086119725,7,57.508642723492784,147.8925468817352
302.019190312,80.1563885954,7,80.15642535763003,302.01981562788126
316.810602355,113.523703244,5,113.52344068709203,316.8126449960168
589.913224656,100.323438792,5,100.32344500240333,589.9125406299019
222.115816869,62.5452678003,60,62.545203654625055,222.115555004115
92.2395156622,41.3471467872,72,41.34706352902502,92.2390664443397
140.34135321,48.358925774,70,48.358969013220104,140.3410769380372
72.1079027468,35.5838916917,72,35.58386953797121,72.10795352480201
160.472938949,53.3201419309,70,53.32025577543287,160.47351487083972
