Name,SName,Comment,Symbol,Latitude,Longitude,SHAPE@X,SHAPE@Y
1011, 017, ,0.0,10.0,77.0,614121.0859000003,4323694.0364
1012, 018, ,0.0,10.0,53.0,614234.0935000004,4323693.0558
1013, 019, ,0.0,10.0,3.0,614334.0749000004,4323700.0583
1021, 020, ,0.0,10.0,78.0,614123.0968000004,4323794.0603
1022, 021, ,0.0,10.0,54.0,614225.0777000003,4323804.049799999
1023, 022, ,0.0,10.0,76.0,614326.0942000002,4323819.0538
1024, 023, ,0.0,10.0,64.0,614421.0791999996,4323819.0473
1031, 024, ,0.0,10.0,87.0,614121.0877999999,4323906.0495
1032, 025, ,0.0,10.0,28.0,614223.0766000003,4323912.063100001
1033, 026, ,0.0,10.0,96.0,614317.0877,4323921.044600001
1034, 027, ,0.0,10.0,37.0,614420.0865000002,4323927.043199999
1041, 028, ,0.0,10.0,70.0,614117.0932,4324004.0449
1042, 029, ,0.0,10.0,38.0,614217.0909000002,4324013.048800001
1043, 030, ,0.0,10.0,33.0,614317.0908000004,4324025.046599999
1052, 031, ,0.0,10.0,95.0,614210.085,4324108.07
1053, 032, ,0.0,10.0,17.0,614315.0811000001,4324112.0616
1301, 1301, ,0.0,10.0,71.0,614249.9999000002,4324550.000499999
1302, 1302, ,0.0,10.0,84.0,614149.9995999997,4324550.000399999
1303, 1303, ,0.0,10.0,84.0,614149.9996999996,4324450.0
1304, 1304, ,0.0,10.0,70.0,614249.9995999997,4324450.0001
1305, 1305, ,0.0,10.0,57.0,614349.9995999997,4324450.0002999995
1306, 1306, ,0.0,10.0,56.0,614349.9995999997,4324349.9998
1307, 1307, ,0.0,10.0,70.0,614249.9992000004,4324350.0008000005
1308, 1308, ,0.0,10.0,83.0,614149.9996999996,4324350.000700001
1309, 1309, ,0.0,10.0,82.0,614149.9996999996,4324250.000399999
1310, 1310, ,0.0,10.0,95.0,614049.9999000002,4324250.000600001
1311, 1311, ,0.0,10.0,69.0,614249.9995999997,4324250.000399999
412, 001, ,0.0,10.0,70.0,613524.1146999998,4323618.0592
421, 002, ,0.0,10.0,45.0,613443.1201999998,4323503.0524
423, 003, ,0.0,10.0,3.0,613430.1141999997,4323698.0428
425, 004, ,0.0,10.0,42.0,613421.1151,4323902.062100001
426, 005, ,0.0,10.0,26.0,613411.0944999997,4324000.0616999995
431, 006, ,0.0,10.0,47.0,613349.1177000003,4323513.0441
434, 007, ,0.0,10.0,48.0,613310.1136999996,4323779.0394
435, 008, ,0.0,10.0,46.0,613316.108,4323912.049699999
437, 009, ,0.0,10.0,4.0,613304.1140999999,4324107.0548
442, 010, ,0.0,10.0,54.0,613235.1058999998,4323612.0448
445, 011, ,0.0,10.0,79.0,613209.1130999997,4323903.047599999
448, 012, ,0.0,10.0,12.0,613184.1267999997,4324206.061000001
451, 013, ,0.0,10.0,38.0,613145.1244999999,4323498.051899999
454, 014, ,0.0,10.0,34.0,613131.1112000002,4323797.0605
456, 015, ,0.0,10.0,39.0,613106.1195,4323997.0592
463, 016, ,0.0,10.0,25.0,613055.1184,4323695.0492
