Length_m,Comp_name,Shape_Length
23.3262522376, ,4.637496427646319
53.5818444979, ,53.581854998048094
13.6563697351, ,13.656418997882309
54.4891396663, ,1.1752602482970333
356.889048343, ,98.54436556960235
272.672793475, ,23.528131666776222
163.026191242, ,1.360634440663027
724.757744915, ,558.236108477199
237.40742185, ,20.38786273223803
302.973891464, ,82.35253445401217
275.283613018, ,37.15088059424533
5.10051259443, ,1.146834412434025
144.099440857, ,14.994795266215212
41.4758060535, ,4.904804576889972
148.283546972, ,3.5926842409839614
44.6060397197, ,1.2129343759326459
241.858622455, ,3.9206678236632477
416.381152359, ,12.807795279021898
14.2643705142, ,0.6426070026698932
71.5600704902, ,12.53226620481055
312.086612027, ,251.72113457775757
141.663378663, ,28.51145783858591
340.57683176, ,27.85296839644213
741.192509179, ,325.10861641622864
688.279952088, ,15.596357160715256
277.996525435, ,14.545491771655382
272.431892199, ,6.028015050058847
174.601921574, ,28.009008700440667
32.7829452137, ,5.4958200598286355
117.500503598, ,17.281065164596676
123.37057551, ,6.211262314463423
180.920539585, ,180.9204819759534
298.03618261, ,95.23912291259971
44.55195974, ,18.16986913787346
38.3579356, ,11.629041174463545
251.61377827, ,187.60368009477298
150.515759933, ,65.32496249633274
46.5816577199, ,18.972442162713342
120.168815649, ,31.335319281320082
97.4245373959, ,48.33661335551023
94.0400174127, ,10.817287642161034
129.855282371, ,21.84448933720065
381.439351508, ,295.08230596024725
394.562868061, ,191.6839219084188
0.534005611832, ,0.5340002340823456
247.92427544, ,127.0032252544031
328.023876705, ,1.214700000360608
41.709376223, ,28.7790917467219
61.5358492086, ,61.53577743676527
159.151910464, ,135.41898350496047
199.006235775, ,10.464897797698164
158.917400468, ,158.9173475238677
82.5724752093, ,82.57241462024551
150.703127931, ,150.7031538429
42.3924375697, ,18.805297034663667
133.663159513, ,17.99629798240778
191.20285899, ,40.07394772452736
475.06104066, ,14.167250608632475
496.787763214, ,3.8717958357753663
268.566589566, ,1.7905668938609176
305.559874355, ,2.1551200661375542
764.963213987, ,4.882329334201602
123.724310472, ,122.49745304931328
37.1518033123, ,13.154113192185676
128.921637063, ,0.398315276303638
413.437655188, ,4.364880634427346
282.844770623, ,14.086430982260357
0.0837799420161, ,0.08372843030995385
260.209169469, ,260.2092019884471
340.772676425, ,340.77267324151387
467.358514492, ,51.960412860100796
106.553313564, ,106.55328401308137
62.2944121313, ,0.17090073092508287
121.270505171, ,5.829794379248746
84.993774204, ,84.99374551493469
35.7853098109, ,35.78528362370117
315.442635732, ,308.442464445984
31.1432857737, ,30.38499954692357
21.0586983097, ,20.57153948632925
53.7938990187, ,42.91406101159314
41.8381545779, ,19.67027208594334
352.581264303, ,352.58125256189953
128.318149607, ,128.3181773522166
426.828762531, ,169.79266408080153
771.072303932, ,526.1346268513129
751.620734692, ,8.503026296785844
303.902599716, ,295.71823932639717
269.439365134, ,143.44016308461386
515.689965712, ,166.5941211396371
674.924098936, ,17.0576288830309
109.699729915, ,109.69977148516365
198.057111805, ,198.05710243649477
435.893926786, ,381.32241931869953
514.994102395, ,514.9941276371336
479.166029809, ,62.657480749190704
765.428833189, ,572.5774403811362
76.3018695644, ,0.37477872123645306
658.252565693, ,457.1472154794703
223.338199797, ,22.08717428141466
213.906618141, ,1.7436572631621405
316.337230591, ,114.39389572260824
194.388935467, ,16.34310724195273
864.621425354, ,350.5675226791546
130.974956758, ,124.40362440154355
61.7805271015, ,61.780558782176854
231.889240866, ,23.136294608375433
64.459750362, ,21.478745392716906
96.0599814955,43,96.0600409178893
4.25462913273,43,4.254667632880003
109.9255496,43,109.92562646086022
7.67643780149,43,7.67643974018458
105.512939266,43,105.51302017806529
2.20798793207,43,2.208029431772325
9.47045746834,20,9.470362733878593
59.1913868169,20,59.19133650390377
49.5534773785,43,49.55342678329639
1.25881248664,43,1.2590320496572387
97.5692500813,20,97.56926863923783
23.3262522376,20,18.68877902176291
68.1353200221,43,68.13551560559608
