Comp_name,Leaf_trap,Fine_Root,SHAPE@X,SHAPE@Y
WS3,39,0.0,613618.8925999999,4323737.081499999
WS3,43,0.0,613553.8345999997,4323874.4198
WS3,44,0.0,613541.1841000002,4323935.861
WS3,47,0.0,613505.0411999999,4323972.0023
WS3,49,0.0,613490.5832000002,4324073.1996
WS3,50,0.0,613474.3173000002,4324237.645400001
WS3,45,0.0,613492.3892000001,4324179.818499999
WS3,48,0.0,613488.7732999995,4324333.4219
WS3,41,0.0,613412.8729999997,4324429.196799999
WS3,42,0.0,613546.6003999999,4324420.163699999
WS3,46,0.0,613535.7578999996,4324400.2853999995
WS3,35,0.0,613626.1142999995,4324380.409
WS3,36,0.0,613631.5369999995,4324261.1405
WS3,40,0.0,613599.0099,4324150.9069
WS3,38,0.0,613609.8536999999,4324047.9024
WS3,37,0.0,613642.3823999995,4324008.1468
WS3,32,0.0,613754.4205,4324358.726199999
WS3,30,0.0,613808.6353000002,4324255.7225
WS3,26,0.0,613927.9057,4324244.882099999
WS3,27,0.0,613873.6922000004,4324217.774599999
WS3,29,0.0,613853.8142999997,4324174.403899999
WS3,28,0.0,613852.0082,4324069.5921
WS3,31,0.0,613792.3744999999,4323935.865599999
WS3,34,0.0,613709.2483000001,4323787.6819
WS3,33,0.0,613736.3547,4323834.666999999
WS7,56,0.0,613511.1728999997,4324495.6022
WS7,58,0.0,613663.1272999998,4324553.2423
WS7,59,0.0,613689.3257999998,4324614.373199999
WS7,57,0.0,613752.2045999998,4324541.0178
WS7,55,0.0,613844.7752999999,4324499.101500001
WS7,53,0.0,613855.2556999996,4324422.252
WS7,54,0.0,613888.4411000004,4324443.2116
WS7,52,0.0,613944.3332000002,4324382.0822
WS7,51,0.0,613998.4780000001,4324392.5627
WS7,69,0.0,613844.7744000005,4324586.4307
WS7,60,0.0,613696.3117000004,4324666.7709
WS7,63,0.0,613677.0983999996,4324731.394099999
WS7,61,0.0,613712.0307,4324715.6755
WS7,62,0.0,613760.9353999998,4324752.354699999
WS7,64,0.0,613731.2421000004,4324846.6697
WS7,66,0.0,613809.8400999997,4324790.7805
WS7,65,0.0,613853.5049,4324829.2061
WS7,67,0.0,613830.7999999998,4324731.397
WS7,68,0.0,613843.0268999999,4324673.7599
WS7,70,0.0,613918.1311999997,4324663.2818
WS7,71,0.0,613940.8375000004,4324621.3642
WS7,75,0.0,613963.5417999998,4324778.5572
WS7,74,0.0,613919.8762999997,4324809.994899999
WS7,73,0.0,613989.7422000002,4324661.536499999
WS7,72,0.0,614003.7154000001,4324628.3517
WS4,16,0.0,612993.6272999998,4323837.3969
WS4,17,0.0,612983.3022999996,4323744.074899999
WS4,22,0.0,613111.5703999996,4323810.790200001
WS4,15,0.0,613100.8482999997,4323688.478800001
WS4,14,0.0,613142.5454000002,4323843.353599999
WS4,18,0.0,613140.5597999999,4323625.7346
WS4,12,0.0,613242.6183000002,4323626.528899999
WS4,11,0.0,613250.9578,4323823.895
WS4,10,0.0,613210.4519999996,4323969.6362
WS4,21,0.0,613293.4490999999,4323817.9383000005
WS4,20,0.0,613082.2681,4323563.124299999
WS4,19,0.0,613080.8536,4323497.704500001
WS4,25,0.0,613326.2662000004,4323623.239800001
WS4,6,0.0,613377.5411999999,4323643.0425
WS4,3,0.0,613453.5696,4323641.6280000005
WS4,4,0.0,613466.2999,4323734.6302000005
WS4,24,0.0,613366.9326,4323731.801200001
WS4,7,0.0,613396.7038000003,4323828.241699999
WS4,5,0.0,613442.3444999997,4323920.184599999
WS4,2,0.0,613527.0113000004,4323703.2259
WS4,1,0.0,613513.1206999999,4323512.063999999
WS4,23,0.0,613378.1829000004,4324094.8100000005
WS4,13,0.0,613157.9167999998,4324052.476600001
WS4,8,0.0,613424.4851000002,4324196.0133
WS4,9,0.0,613379.5058000004,4324242.3155000005
