sample_id,watershed,soil_subcomp,soil_plot,subplot_letter,subplot,depth_code,depth_top_cm,depth_bottom_cm,depth,horizon,soil_dw_g,BD_gcm3,core_vol_cm3,core_area_m2,volsoil_area_cm3m2,wtsoil_area_gm2,fine_root_g,fine_root_gm2,soil_C_perc,soil_C_gm2,soil_N_perc,soil_N_gm2,soil_CN,treatment,bd_note
56,WS2,WS2a,10,A,10A,20-40,20.0,40.0,20 to 40,Mineral,372.34,1.040930824,392.69908169872417,0.001963495408493621,200000.0,208186.1648,0.1256,70.22662700456571,0.99,2061.0430315199997,0.09,187.36754832,11.0,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
57,WS2,WS2a,10,B,10B,0-20,0.0,20.0,0 to 20,Mineral,284.88,0.80771404,392.69908169872417,0.001963495408493621,200000.0,161542.808,0.389,220.58464024150518,4.75,7673.28338,0.28,452.31986240000003,16.96428571428571,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
58,WS2,WS2a,10,B,10B,20-40,20.0,40.0,20 to 40,Mineral,372.34,1.040930824,392.69908169872417,0.001963495408493621,200000.0,208186.1648,0.0702,39.25086955191492,1.3,2706.4201424000003,0.1,208.1861648,13.0,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
59,WS2,WS2a,10,C,10C,0-20,0.0,20.0,0 to 20,Mineral,284.88,0.80771404,392.69908169872417,0.001963495408493621,200000.0,161542.808,0.3479,197.2786538303847,1.34,2164.6736272,0.1,161.54280799999998,13.4,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
60,WS2,WS2a,10,C,10C,20-40,20.0,40.0,20 to 40,Mineral,372.34,1.040930824,392.69908169872417,0.001963495408493621,200000.0,208186.1648,0.3018,168.74519132148038,4.02,8369.083824959998,0.22,458.00956256,18.27272727272727,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
61,WS2,WS2a,11,A,11A,0-20,0.0,20.0,0 to 20,Mineral,209.06,0.59274325,392.69908169872417,0.001963495408493621,200000.0,118548.65000000001,0.7106,402.9497306514877,3.13,3710.5727450000004,0.17,201.53270500000002,18.41176470588235,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
62,WS2,WS2a,11,A,11A,20-40,20.0,40.0,20 to 40,Mineral,404.64,1.100465082,392.69908169872417,0.001963495408493621,200000.0,220093.0164,0.1089,59.23321838167259,0.94,2068.8743541599997,0.06,132.05580984,15.666666666666666,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
63,WS2,WS2a,11,B,11B,0-20,0.0,20.0,0 to 20,Mineral,209.06,0.59274325,392.69908169872417,0.001963495408493621,200000.0,118548.65000000001,0.5936,336.6042219458529,3.9,4623.39735,0.2,237.09730000000002,19.5,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
64,WS2,WS2a,11,B,11B,20-40,20.0,40.0,20 to 40,Mineral,404.64,1.100465082,392.69908169872417,0.001963495408493621,200000.0,220093.0164,0.0081,4.405776573843417,1.6,3521.4882624,0.09,198.08371476,17.77777777777778,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
65,WS2,WS2a,11,C,11C,0-20,0.0,20.0,0 to 20,Mineral,209.06,0.59274325,392.69908169872417,0.001963495408493621,200000.0,118548.65000000001,0.8232,466.8001945852866,3.8,4504.8487000000005,0.23,272.661895,16.52173913043478,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
66,WS2,WS2a,11,C,11C,20-40,20.0,40.0,20 to 40,Mineral,404.64,1.100465082,392.69908169872417,0.001963495408493621,200000.0,220093.0164,0.4617,251.12926470907473,1.79,3939.66499356,0.12,264.11161968,14.916666666666668,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
67,WS2,WS2a,12,A,12A,0-20,0.0,20.0,0 to 20,Mineral,345.18,0.927077065,392.69908169872417,0.001963495408493621,200000.0,185415.413,0.2819,151.42419875050697,1.08,2002.4864604000002,0.08,148.33233040000002,13.5,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
68,WS2,WS2a,12,A,12A,20-40,20.0,40.0,20 to 40,Mineral,336.25,1.007239349,392.69908169872417,0.001963495408493621,200000.0,201447.86980000001,0.3604,215.91617033730856,0.71,1430.27987558,0.06,120.86872188,11.833333333333334,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
69,WS2,WS2a,12,B,12B,0-20,0.0,20.0,0 to 20,Mineral,345.18,0.927077065,392.69908169872417,0.001963495408493621,200000.0,185415.413,0.7334,393.9500083846109,0.74,1372.0740562,0.06,111.24924779999999,12.333333333333334,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
70,WS2,WS2a,12,B,12B,20-40,20.0,40.0,20 to 40,Mineral,336.25,1.007239349,392.69908169872417,0.001963495408493621,200000.0,201447.86980000001,0.5516,330.4643716927286,0.86,1732.4516802800001,0.07,141.01350886000003,12.285714285714285,Diameter-limit,"BD from one core per plot x depth, applied to all subplots"
