watershed,class,area_ha,pct_of_watershed
WS2, ,15.45,98.9
WS2,ACSA-TIAM,0.17,1.1
WS4, ,11.16,28.6
WS4,ACSA-TIAM,22.6,57.9
WS4,QUPR-QURU,5.18,13.3
WS5, ,11.08,29.5
WS5,ACSA-FAGR,0.47,1.3
WS5,ACSA-QURU,3.37,9.0
WS5,ACSA-TIAM,17.93,47.8
WS5,TSCA,4.68,12.5
