Perimeter,Area,Ws_name,GIS_acres,Survey_ac,Shape_Length,Shape_Area
2202.11343461,298428.96875,WS1,73.7434041639,74.4,2202.113434597794,298428.96875
2747.17872927,390072.046875,WS4,96.3889019427,95.7,2747.1787292744098,390072.046875
1644.72616577,156229.890625,WS2,38.6052467195,38.3,1644.7261657667905,156229.890625
2675.40709432,375366.109375,WS5,92.754985647,89.96,2675.4070943180336,375366.109375
