subcomp,watershed,treatment,site_index_nro,site_class,cutting_cycle_yr,prescription,rba_m2ha_trees_ge28cm,largest_tree_retained_cm,source,site_index_layer,cutting_cycle_layer,treatment_layer,area_ac_layer,established_layer
WS2A,WS2,Diameter-limit,80,excellent,15.0,cut all trees >= 43 cm (17 in) DBH,,,"Schuler 2014 (Springer, Experimental Forests and Ranges, pp 149-171), Table 7.1; LAMP study est. 1950",75,15yr,Diameter limit - 18 in,26.79,1951
WS2B,WS2,Diameter-limit,60,fair,20.0,cut all trees >= 43 cm (17 in) DBH,,,"Schuler 2014 (Springer, Experimental Forests and Ranges, pp 149-171), Table 7.1; LAMP study est. 1950",59,20yr,Diameter limit - 18 in,11.5,1951
WS4A,WS4,Reference,80,excellent,,unmanaged,,,"Schuler 2014 (Springer, Experimental Forests and Ranges, pp 149-171), Table 7.1; LAMP study est. 1950",81,control,Control,70.09,1951
WS4B,WS4,Reference,70,good,,unmanaged,,,"Schuler 2014 (Springer, Experimental Forests and Ranges, pp 149-171), Table 7.1; LAMP study est. 1950",70,control,Control,13.0900001526,1951
WS4C,WS4,Reference,60,fair,,unmanaged,,,"Schuler 2014 (Springer, Experimental Forests and Ranges, pp 149-171), Table 7.1; LAMP study est. 1950",64,control,Control,12.5500001907,1951
WS5A,WS5,Single-tree selection,80,excellent,10.0,"BDq single-tree selection, Q = 1.3",15.0,81.0,"Schuler 2014 (Springer, Experimental Forests and Ranges, pp 149-171), Table 7.1; LAMP study est. 1950",75,10yr,Single-tree selection,78.21,1951
WS5B,WS5,Single-tree selection,60,fair,15.0,"BDq single-tree selection, Q = 1.3",8.0,51.0,"Schuler 2014 (Springer, Experimental Forests and Ranges, pp 149-171), Table 7.1; LAMP study est. 1950",64,15yr,Single-tree selection,11.75,1951
