CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,RESERVCD,OWNCD,OWNGRPCD,ADFORCD,FORTYPCD,FLDTYPCD,MAPDEN,STDAGE,STDSZCD,FLDSZCD,SITECLCD,SICOND,SIBASE,SISP,STDORGCD,STDORGSP,PROP_BASIS,CONDPROP_UNADJ,MICRPROP_UNADJ,SUBPPROP_UNADJ,MACRPROP_UNADJ,SLOPE,ASPECT,PHYSCLCD,GSSTKCD,ALSTKCD,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,TRTCD1,TRTYR1,TRTCD2,TRTYR2,TRTCD3,TRTYR3,PRESNFCD,BALIVE,FLDAGE,ALSTK,GSSTK,FORTYPCDCALC,HABTYPCD1,HABTYPCD1_PUB_CD,HABTYPCD1_DESCR_PUB_CD,HABTYPCD2,HABTYPCD2_PUB_CD,HABTYPCD2_DESCR_PUB_CD,MIXEDCONFCD,VOL_LOC_GRP,SITECLCDEST,SITETREE_TREE,SITECL_METHOD,CARBON_DOWN_DEAD,CARBON_LITTER,CARBON_SOIL_ORG,CARBON_UNDERSTORY_AG,CARBON_UNDERSTORY_BG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,SOIL_ROOTING_DEPTH_PNW,GROUND_LAND_CLASS_PNW,PLANT_STOCKABILITY_FACTOR_PNW,STND_COND_CD_PNWRS,STND_STRUC_CD_PNWRS,STUMP_CD_PNWRS,FIRE_SRS,GRAZING_SRS,HARVEST_TYPE1_SRS,HARVEST_TYPE2_SRS,HARVEST_TYPE3_SRS,LAND_USE_SRS,OPERABILITY_SRS,STAND_STRUCTURE_SRS,NF_COND_STATUS_CD,NF_COND_NONSAMPLE_REASN_CD,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,OWNSUBCD,INDUSTRIALCD_FIADB,RESERVCD_5,ADMIN_WITHDRAWN_CD,CHAINING_CD,LAND_COVER_CLASS_CD_RET,AFFORESTATION_CD,PREV_AFFORESTATION_CD,DWM_FUELBED_TYPCD,NVCS_PRIMARY_CLASS,NVCS_LEVEL_1_CD,NVCS_LEVEL_2_CD,NVCS_LEVEL_3_CD,NVCS_LEVEL_4_CD,NVCS_LEVEL_5_CD,NVCS_LEVEL_6_CD,NVCS_LEVEL_7_CD,NVCS_LEVEL_8_CD,AGE_BASIS_CD_PNWRS,COND_STATUS_CHNG_CD_RMRS,CRCOVPCT_RMRS,DOMINANT_SPECIES1_PNWRS,DOMINANT_SPECIES2_PNWRS,DOMINANT_SPECIES3_PNWRS,DSTRBCD1_P2A,DSTRBCD2_P2A,DSTRBCD3_P2A,DSTRBYR1_P2A,DSTRBYR2_P2A,DSTRBYR3_P2A,FLDTYPCD_30,FOREST_COMMUNITY_PNWRS,LAND_USECD_RMRS,MAICF,PCTBARE_RMRS,QMD_RMRS,RANGETYPCD_RMRS,SDIMAX_RMRS,SDIPCT_RMRS,SDI_RMRS,STAND_STRUCTURE_ME_NERS,TREES_PRESENT_NCRS,TREES_PRESENT_NERS,TRTCD1_P2A,TRTCD2_P2A,TRTCD3_P2A,TRTOPCD,TRTYR1_P2A,TRTYR2_P2A,TRTYR3_P2A,LAND_COVER_CLASS_CD,SIEQN_REF_CD,SICOND_FVS,SIBASE_FVS,SISP_FVS,SIEQN_REF_CD_FVS,MQUADPROP_UNADJ,SOILPROP_UNADJ,FOREST_COND_STATUS_CHANGE_CD
534022424126144,374961545489998,2017,54,3,67,1412,1,5,3,,,,,,,,,,,,,,,,,SUBP,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2018-05-04 07:20:21,2026-06-25 08:35:34,8,4,,,,,,,,,,,,,,,,,1,90,90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534022425126144,374961545489998,2017,54,3,67,1412,2,1,,0,46,40,,517,516,1,51,2,2,5,74,50,541,0,,SUBP,0.5,0.5,0.5,,5,285,22,4,3,60,9999,0,,0,,0,,0,,0,,,86.3073,51,42.31,34.5745,517,,,,,,,,S24,6,4,1,3.710261,4.790158,56.794433,0.724518,0.080502,2018-05-04 07:20:21,2026-07-06 08:30:28,8,4,,,,,,,,,,,,,,,,,1,75,75,,,,,,0,1,0,,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,50,541,FRAM06,,,
534022426126144,374961545489998,2017,54,3,67,1412,3,1,,0,46,40,,511,511,1,20,3,1,4,92,50,621,0,,SUBP,0.199747,0.159177,0.199747,,30,245,22,4,4,0,,0,,0,,0,,0,,0,,,66.2611,20,14.771,14.1736,506,,,,,,,,S24,6,6,1,2.728884,5.4444,56.794433,0.757902,0.084211,2018-05-04 07:20:21,2026-07-06 08:30:28,8,4,,,,,,,,,,,,,,,,,1,90,90,,,,,,0,1,0,,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,50,621,LITU09,,,
534022427126144,374961545489998,2017,54,3,67,1412,4,1,,0,46,40,,511,511,1,56,1,3,5,73,50,621,0,,SUBP,0.050253,0.090823,0.050253,,30,245,22,1,1,0,,0,,0,,0,,0,,0,,,369.2482,56,114.183,114.183,511,,,,,,,,S24,6,5,1,20.143511,4.976852,56.794433,1.321026,0.146781,2018-05-04 07:20:21,2026-07-06 08:30:28,8,4,,,,,,,,,,,,,,,,,1,90,90,,,,,,0,1,0,,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,50,621,LITU09,,,
534022618126144,374961550489998,2017,54,2,75,5208,1,1,,0,11,10,921,801,801,1,91,1,3,3,60,50,97,0,,SUBP,1.0,1.0,1.0,,21,230,22,2,2,20,9999,0,,0,,0,,0,,0,,,144.7331,91,71.4797,67.881,801,,,,,,,,S24,6,1,2,7.937049,7.738272,70.788096,0.634014,0.070446,2018-05-04 07:20:21,2026-07-06 08:30:28,8,4,,,,,,,,,,,,,,,,,1,92,92,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,50,97,PIRU03,,,
534031919126144,374961331489998,2017,54,3,45,41,1,1,,0,46,40,,502,502,1,126,1,3,4,91,50,832,0,,SUBP,1.0,1.0,1.0,,30,75,22,2,2,10,9999,0,,0,,0,,0,,0,,,149.3844,126,68.9448,68.1339,502,,,,,,,,S24,6,2,2,11.005725,3.456369,52.486773,0.723939,0.080438,2018-05-04 07:20:14,2026-07-06 08:30:28,8,4,,,,,,,,,,,,,,,,,1,85,85,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,50,832,QUPR01,,,
534032217126144,374961340489998,2017,54,4,13,906,1,5,2,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,2018-05-04 07:20:14,2026-06-25 08:35:31,8,4,,,,,,,,,,,,,,,,,1,90,90,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661320427126144,465275804489998,2018,54,2,41,620,1,2,,,,,,,,,,,,,,,,,,SUBP,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,S24,,,,,,,,,2019-05-10 08:02:24,2026-06-25 08:35:34,8,5,,,,,,,,,,,,,,,,,11,11,11,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661277349126144,465275807489998,2018,54,2,101,776,1,1,,0,46,40,,506,520,1,70,1,3,5,75,50,621,0,,SUBP,1.0,1.0,1.0,,17,224,22,3,3,0,,0,,0,,0,,0,,0,,,110.1748,70,45.5268,38.168,506,,,,,,,,S24,6,1,2,5.136571,3.963407,58.906976,0.711403,0.079045,2019-05-10 08:02:24,2026-07-06 08:30:36,8,5,,,,,,,,,,,,,,,,,1,85,85,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,50,621,LITU09,,,
661277438126144,465275809489998,2018,54,2,101,2435,1,1,,0,46,40,,515,520,1,88,1,3,5,81,50,621,0,,SUBP,1.0,1.0,1.0,,47,138,22,3,3,0,,0,,0,,10,2014,0,,0,,,121.7769,88,56.0394,53.8087,515,,,,,,,,S24,6,2,1,6.480889,3.971263,59.206142,0.702627,0.07807,2019-05-10 08:02:24,2026-07-06 08:30:36,8,5,,,,,,,,,,,,,,,,,1,88,88,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,50,621,LITU09,,,
661278321126144,465275827489998,2018,54,2,101,510,1,1,,0,46,40,,503,503,1,90,1,3,5,67,50,316,0,,SUBP,1.0,1.0,1.0,,22,312,22,2,2,0,,0,,0,,0,,0,,0,,,189.4726,90,89.7187,89.1922,503,,,,,,,,S24,6,1,1,12.910584,3.418099,58.598265,0.84901,0.094334,2019-05-10 08:02:24,2026-07-06 08:30:36,8,5,,,,,,,,,,,,,,,,,1,90,90,,,,,,0,1,0,0,,NATURAL,1,1.B,1.B.2,1.B.2.Na,1.B.2.Na.M502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,50,316,ACRU02,,,
