ID,watershed,subcomp,plot,subplot,depth,horizon,fine_root_gm2,soil_C_gm2,soil_N_gm2,soil_CN,LF_C_gcm3,LF_N_gcm3,hPOM_C_gcm3,hPOM_N_gcm3,MAOM_C_gcm3,MAOM_N_gcm3,LF_C_gm2,LF_N_gm2,hPOM_C_gm2,hPOM_N_gm2,MAOM_C_gm2,MAOM_N_gm2,total_POC_gm2,MAOC.hPOC,MAOC.tot_POC
241,WS5,WS5b,21,21A,OH,Organic,11.005,69.2352,2.8224,24.53061224,,,,,,,,,,,,,,,
242,WS5,WS5b,21,21B,OH,Organic,12.1125,168.987,5.642,29.9516129,,,,,,,,,,,,,,,
243,WS5,WS5b,21,21C,OH,Organic,2.295,129.1075,3.9633,32.57575758,,,,,,,,,,,,,,,
244,WS5,WS5b,22,22A,OH,Organic,6.4,71.7336,2.496825,28.72992701,,,,,,,,,,,,,,,
245,WS5,WS5b,22,22B,OH,Organic,0.24,41.718425,1.305175,31.96385542,,,,,,,,,,,,,,,
246,WS5,WS5b,22,22C,OH,Organic,0.2125,34.3224,1.0584,32.42857143,,,,,,,,,,,,,,,
247,WS5,WS5b,23,23A,OH,Organic,13.6875,18.436025,0.7758,23.76388889,,,,,,,,,,,,,,,
248,WS5,WS5b,23,23B,OH,Organic,NA,54.4687,2.834975,19.21311475,,,,,,,,,,,,,,,
249,WS5,WS5b,23,23C,OH,Organic,0.0175,11.8755,0.3683,32.24409449,,,,,,,,,,,,,,,
250,WS5,WS5a,24,24A,OH,Organic,7.8475,78.489,2.268,34.60714286,,,,,,,,,,,,,,,
251,WS5,WS5a,24,24B,OH,Organic,1.63,54.3375,1.5295,35.52631579,,,,,,,,,,,,,,,
252,WS5,WS5a,24,24C,OH,Organic,1.1675,21.6711,0.7128,30.40277778,,,,,,,,,,,,,,,
