CN,STATECD,COUNTYCD,PLOT,MEASYEAR,INVYR,CONDID,EVALID,PLT_CN,CND_CN,STRATUM_CN,PHASE,CONDPROP_CWD,CONDPROP_FWD_SM,CONDPROP_FWD_MD,CONDPROP_FWD_LG,CONDPROP_DUFF,CWD_TL_COND,CWD_TL_UNADJ,CWD_TL_ADJ,CWD_LPA_COND,CWD_LPA_UNADJ,CWD_LPA_ADJ,CWD_VOLCF_COND,CWD_VOLCF_UNADJ,CWD_VOLCF_ADJ,CWD_DRYBIO_COND,CWD_DRYBIO_UNADJ,CWD_DRYBIO_ADJ,CWD_CARBON_COND,CWD_CARBON_UNADJ,CWD_CARBON_ADJ,FWD_SM_TL_COND,FWD_SM_TL_UNADJ,FWD_SM_TL_ADJ,FWD_SM_CNT_COND,FWD_SM_VOLCF_COND,FWD_SM_VOLCF_UNADJ,FWD_SM_VOLCF_ADJ,FWD_SM_DRYBIO_COND,FWD_SM_DRYBIO_UNADJ,FWD_SM_DRYBIO_ADJ,FWD_SM_CARBON_COND,FWD_SM_CARBON_UNADJ,FWD_SM_CARBON_ADJ,FWD_MD_TL_COND,FWD_MD_TL_UNADJ,FWD_MD_TL_ADJ,FWD_MD_CNT_COND,FWD_MD_VOLCF_COND,FWD_MD_VOLCF_UNADJ,FWD_MD_VOLCF_ADJ,FWD_MD_DRYBIO_COND,FWD_MD_DRYBIO_UNADJ,FWD_MD_DRYBIO_ADJ,FWD_MD_CARBON_COND,FWD_MD_CARBON_UNADJ,FWD_MD_CARBON_ADJ,FWD_LG_TL_COND,FWD_LG_TL_UNADJ,FWD_LG_TL_ADJ,FWD_LG_CNT_COND,FWD_LG_VOLCF_COND,FWD_LG_VOLCF_UNADJ,FWD_LG_VOLCF_ADJ,FWD_LG_DRYBIO_COND,FWD_LG_DRYBIO_UNADJ,FWD_LG_DRYBIO_ADJ,FWD_LG_CARBON_COND,FWD_LG_CARBON_UNADJ,FWD_LG_CARBON_ADJ,PILE_SAMPLE_AREA_COND,PILE_SAMPLE_AREA_UNADJ,PILE_SAMPLE_AREA_ADJ,PILE_VOLCF_COND,PILE_VOLCF_UNADJ,PILE_VOLCF_ADJ,PILE_DRYBIO_COND,PILE_DRYBIO_UNADJ,PILE_DRYBIO_ADJ,PILE_CARBON_COND,PILE_CARBON_UNADJ,PILE_CARBON_ADJ,FUEL_DEPTH,FUEL_BIOMASS,FUEL_CARBON,DUFF_DEPTH,DUFF_BIOMASS,DUFF_CARBON,LITTER_DEPTH,LITTER_BIOMASS,LITTER_CARBON,DUFF_TC_COND,DUFF_TC_UNADJ,DUFF_TC_ADJ,AVG_WOOD_DENSITY,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,UNITCD,RSCD,PILE_TL_COND,PILE_TL_UNADJ,PILE_TL_ADJ,CONDPROP_PILE
1855571437290487,54,7,1364.0,2006,2006,1,541007,75121668010538,75121670010538,30459176020004,,0.75,0.753218657727,0.753218657727,0.753218657727,0.75,216.0,288.0,285.91579251,56.23138888888889,42.173541666666665,42.48096928600275,148.58736071666667,111.4405205375,112.25287569128818,2521.83574374732,1891.37680781049,1905.16415993492,1238.221350179934,928.6660126349506,935.4356025280458,17.2848980652,22.9480482034,22.7795667304,11.0,1.7976266795350682,1.3540059546529628,1.3640204084135465,55.5194822267685,41.81830988052344,42.12760507173373,27.75974111338425,20.90915494026172,21.063802535866866,17.2848980652,22.9480482034,22.7795667304,3.0,15.173308667213163,11.428819187589971,11.51334863954613,468.6258000401355,352.97769608229373,355.58837796577154,234.31290002006776,176.48884804114687,177.79418898288577,28.808163442,38.2467470056,37.9393417038,8.0,289.0297147871784,217.70257381510598,219.4665191658115,8926.647727149335,6723.717619041794,6778.196857507933,4463.3238635746675,3361.858809520897,3389.0984287539663,0.124625175,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,,0.37777777777777777,15784.046666666667,7892.0233333333335,1.0444444444444445,16947.26,8473.63,9.0,12.0,11.909090909091,36.335151596,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,2,24,0.0,0.0,0.0,0.75
1855571438290487,54,7,1364.0,2006,2006,2,541007,75121668010538,75121672010538,30459176020004,,0.25,0.246781342274,0.246781342274,0.246781342275,0.25,72.0,288.0,285.91579251,22.627,5.65675,5.697985360298277,282.4887613625,70.622190340625,71.13699680436287,3849.802038049968,962.450509512492,969.4663743693458,1890.2528006825344,472.5632001706336,476.00798981534876,5.6631501382,22.9480482034,22.7795667304,8.0,3.9903000539264073,0.9847316033839729,0.9920148424825793,86.93326707134881,21.453508336131573,21.61218206019917,43.466633535674404,10.726754168065787,10.806091030099585,5.6631501382,22.9480482034,22.7795667304,1.0,15.437173494394644,3.8096063958633235,3.83778287984871,336.31654464040633,82.99664831531308,83.61050536223439,168.15827232020317,41.49832415765654,41.805252681117196,9.4385835637,38.2467470056,37.9393417038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041541725,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,,,0.16666666666666666,6963.55,3481.775,0.3333333333333333,5408.7,2704.35,3.0,12.0,11.909090909091,25.630762215,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,2,24,0.0,0.0,0.0,0.25
1855571458290487,54,17,2157.0,2006,2006,1,541007,75124707010538,75124709010538,30459176020004,,0.737591969443,0.735500827669,0.735500827669,0.735500827672,0.666666666667,212.4264871995,288.0,285.91579251,169.57983571122602,125.080725,125.99251158447778,715.0277719837826,527.39874254375,531.2432605390034,16737.109233221483,12345.157362109572,12435.148436801845,8217.920633511749,6061.4722647958,6105.657882469705,16.6843810026,22.6843810026,22.5178353386,28.0,4.7404718847022,3.4866209947402678,3.51240862485557,135.6196895748699,99.7483939305347,100.48614968063099,67.80984478743495,49.87419696526735,50.243074840315494,16.6843810026,22.6843810026,22.5178353386,17.0,89.07681563420142,65.51607162507736,66.00063941269289,2548.3897760501595,1874.342789508204,1888.205741242286,1274.1948880250798,937.171394754102,944.102870621143,27.8073016711,37.8073016711,37.5034283775,7.0,262.0036075941027,192.70387023842912,194.265262416818,7495.635201228588,5513.045894428621,5557.715608264722,3747.817600614294,2756.5229472143105,2778.857804132361,0.119863828647,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875,,,0.25,10445.325,5222.6625,0.2625,4259.35125,2129.675625,8.0,12.0,11.909090909091,33.6575302736,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,4,24,0.0,0.0,0.0,0.721345999998
1855571459290487,54,17,2157.0,2006,2006,2,541007,75124707010538,75124711010538,30459176020004,,0.25,0.264499172329,0.264499172329,0.264499172329,0.25,72.0,288.0,285.91579251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.6843810026,22.5178353386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.6843810026,22.5178353386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,37.8073016711,37.5034283775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041541725,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,11.909090909091,28.08,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,4,24,0.0,0.0,0.0,0.25
1855571460290487,54,17,2157.0,2006,2006,3,541007,75124707010538,75124713010538,30459176020004,,0.012408030557,0.0,0.0,0.0,0.083333333333,3.5735128005,288.0,285.91579251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6843810026,22.5178353386,,,,,,,,,,,0.0,22.6843810026,22.5178353386,,,,,,,,,,,0.0,37.8073016711,37.5034283775,,,,,,,,,,,0.004761346353,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,,,0.4,16712.52,8356.26,1.6,25961.76,12980.88,1.0,12.0,11.909090909091,28.7,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,4,24,0.0,0.0,0.0,0.028654000002
1855571485290487,54,25,390.0,2006,2006,1,541007,75130058010538,75130060010538,30459175020004,,1.0,1.0,1.0,1.0,1.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661669,0.1661669,0.1661669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,28.08,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,3,24,0.0,0.0,0.0,1.0
1855571496290487,54,27,48.0,2006,2006,1,541007,75131953010538,75131955010538,30459176020004,,1.0,1.0,1.0,1.0,1.0,288.0,288.0,285.91579251,158.389,158.389,159.54359008835175,152.258850734375,152.258850734375,153.3687545782135,2140.74648312525,2140.74648312525,2156.3516367097177,1051.1065232144977,1051.1065232144977,1058.7686536244714,23.9336181172,23.9336181172,23.7579007229,24.0,2.8325431020744274,2.832543102073269,2.853493063056154,66.74617435967471,66.74617435964743,67.23984019215249,33.373087179837356,33.37308717982371,33.61992009607624,23.9336181172,23.9336181172,23.7579007229,2.0,7.305458855414047,7.30545885541106,7.3594912469643985,172.146164407451,172.14616440738064,173.4193861370158,86.0730822037255,86.07308220369032,86.7096930685079,39.8893635287,39.8893635287,39.5687558223,1.0,26.09221646640497,26.092216466416104,26.303629878389017,614.8381743676221,614.8381743678846,619.8199296136153,307.41908718381103,307.4190871839423,309.90996480680764,0.1661669,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,,,0.025,1020.03,510.015,1.075,17052.8325,8526.41625,12.0,12.0,11.909090909091,27.7224063965,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,2,24,0.0,0.0,0.0,1.0
1855571515290487,54,31,2446.0,2006,2006,1,541007,75132886010538,75132888010538,30459176020004,,1.0,1.0,1.0,1.0,1.0,288.0,288.0,285.91579251,107.02212204790823,107.02212204790823,107.80226891006966,516.384272490625,516.384272490625,520.1484995695156,9387.118748565557,9387.118748565557,9455.546949168343,4609.075305545689,4609.075305545689,4642.673552041657,24.0,24.0,23.8237952389,42.0,4.9432399410303,4.9432399410303,4.979800967698463,130.17611721989798,130.17611721989798,131.13892148390516,65.08805860994899,65.08805860994899,65.56946074195258,24.0,24.0,23.8237952389,7.0,25.4983841023912,25.4983841023912,25.686974401928286,671.4787623962748,671.4787623962748,676.445131262027,335.7393811981374,335.7393811981374,338.2225656310135,40.0,40.0,39.6785030614,6.0,156.120286184694,156.120286184694,157.385258151448,4111.298038781196,4111.298038781196,4144.610024642382,2055.649019390598,2055.649019390598,2072.305012321191,0.1661669,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,0.425,17757.0525,8878.52625,0.7833333333333333,12710.445,6355.2225,12.0,12.0,11.909090909091,30.981375581,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,2,24,0.0,0.0,0.0,1.0
1855571511290487,54,33,3590.0,2006,2006,1,541007,75134104010538,75134106010538,30459176020004,,1.0,0.999999999999,0.999999999999,0.999999999999,1.0,288.0,288.0,285.91579251,125.08658804711415,125.08658804711415,125.99841737077259,631.712253046875,631.712253046875,636.3171732500348,9301.517189949485,9301.517189949485,9369.321390709316,4567.044940265197,4567.044940265197,4600.336802838275,22.738488546,22.738488546,22.5715456317,22.0,2.732969155112426,2.7329691551089406,2.7531826505805723,69.55557982954856,69.55557982945986,70.07002449316242,34.77778991477428,34.77778991472993,35.03501224658121,22.738488546,22.738488546,22.5715456317,12.0,46.136592253090946,46.1365922530321,46.47782618055003,1174.2018454618044,1174.201845460307,1182.8864380550035,587.1009227309022,587.1009227301535,591.4432190275018,37.89748091,37.89748091,37.5928828078,11.0,302.0997890088405,302.09978900845516,304.54756676749605,7688.607078344352,7688.607078334546,7750.904379058,3844.303539172176,3844.303539167273,3875.452189529,0.1661669,0.1661669,0.164932071469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,,,0.43333333333333335,12379.51,6189.755,1.4833333333333334,16476.57,8238.285,12.0,12.0,11.909090909091,29.9418285655,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,2,24,0.0,0.0,0.0,1.0
1855571525290487,54,35,759.0,2006,2006,1,541007,75135141010538,75135143010538,30459176020004,,1.0,1.000000000001,1.000000000001,0.999999999999,1.0,288.0,288.0,285.91579251,380.67036364942527,380.67036364942527,383.44529264575004,601.2604829,601.2604829,605.6434223343921,20017.124987341333,20017.124987341333,20163.041522629024,9828.408368784594,9828.408368784594,9900.053387610851,23.6304417655,23.6304417655,23.456950251,47.0,5.618231880337261,5.618231880343815,5.659785259919876,181.8688920991884,181.8688920994006,183.2140247438762,90.9344460495942,90.9344460497003,91.6070123719381,23.6304417655,23.6304417655,23.456950251,25.0,92.48984009244633,92.48984009255423,93.17391036842541,2994.0068523897503,2994.0068523932437,3016.1510261903577,1497.0034261948751,1497.0034261966218,1508.0755130951788,39.3840696091,39.3840696091,39.0675231639,15.0,396.40465735064913,396.40465735044063,399.61654474376644,12832.093333070688,12832.093333063938,12936.065973249171,6416.046666535344,6416.046666531969,6468.032986624586,0.1661669,0.1661669,0.164932071469,827.1503717380365,827.1503717380365,833.3431568603696,22050.698184484303,22050.698184484303,22215.789370222392,11157.653281349058,11157.653281349058,11241.18942133253,1.0916666666666666,,,0.025,1044.5325,522.26625,0.43333333333333335,7031.31,3515.655,12.0,12.0,11.909090909091,38.0837614087,2025-05-14 08:30:42,2025-05-14 08:30:43,6,3,4,24,0.0,0.0,0.0,1.0
